x,y,z,QVolMean
0.05,-0.0254,0.01905,0
0.05,-0.025196,0.01905,4.66502e-10
0.05,-0.024992,0.01905,4.73498e-09
0.05,-0.024788,0.01905,1.89548e-08
0.05,-0.0245839,0.01905,4.77991e-08
0.05,-0.0243799,0.01905,9.41399e-08
0.05,-0.0241759,0.01905,1.57573e-07
0.05,-0.0239719,0.01905,2.40408e-07
0.05,-0.0237679,0.01905,3.40698e-07
0.05,-0.0235639,0.01905,4.49435e-07
0.05,-0.0233598,0.01905,5.58367e-07
0.05,-0.0231558,0.01905,6.67315e-07
0.05,-0.0229518,0.01905,7.75797e-07
0.05,-0.0227478,0.01905,8.84542e-07
0.05,-0.0225438,0.01905,9.89934e-07
0.05,-0.0223398,0.01905,1.09251e-06
0.05,-0.0221357,0.01905,1.19509e-06
0.05,-0.0219317,0.01905,1.30764e-06
0.05,-0.0217277,0.01905,1.42673e-06
0.05,-0.0215237,0.01905,1.54743e-06
0.05,-0.0213197,0.01905,1.6779e-06
0.05,-0.0211157,0.01905,1.82736e-06
0.05,-0.0209116,0.01905,1.98357e-06
0.05,-0.0207076,0.01905,2.14425e-06
0.05,-0.0205036,0.01905,2.32968e-06
0.05,-0.0202996,0.01905,2.5274e-06
0.05,-0.0200956,0.01905,2.72246e-06
0.05,-0.0198916,0.01905,2.93284e-06
0.05,-0.0196876,0.01905,3.15644e-06
0.05,-0.0194835,0.01905,3.37331e-06
0.05,-0.0192795,0.01905,3.59894e-06
0.05,-0.0190755,0.01905,3.8365e-06
0.05,-0.0188715,0.01905,4.0679e-06
0.05,-0.0186675,0.01905,4.30577e-06
0.05,-0.0184635,0.01905,4.55748e-06
0.05,-0.0182594,0.01905,4.81832e-06
0.05,-0.0180554,0.01905,5.1415e-06
0.05,-0.0178514,0.01905,5.52547e-06
0.05,-0.0176474,0.01905,5.96587e-06
0.05,-0.0174434,0.01905,6.56601e-06
0.05,-0.0172394,0.01905,7.32368e-06
