x,y,z,QVolMean
0.15,-0.0254,0.01905,-5.82784e-21
0.15,-0.025196,0.01905,3.62e-07
0.15,-0.024992,0.01905,1.99915e-06
0.15,-0.024788,0.01905,5.00869e-06
0.15,-0.0245839,0.01905,8.91106e-06
0.15,-0.0243799,0.01905,1.34297e-05
0.15,-0.0241759,0.01905,1.76961e-05
0.15,-0.0239719,0.01905,2.08869e-05
0.15,-0.0237679,0.01905,2.31375e-05
0.15,-0.0235639,0.01905,2.48904e-05
0.15,-0.0233598,0.01905,2.62819e-05
0.15,-0.0231558,0.01905,2.72155e-05
0.15,-0.0229518,0.01905,2.76074e-05
0.15,-0.0227478,0.01905,2.77486e-05
0.15,-0.0225438,0.01905,2.83085e-05
0.15,-0.0223398,0.01905,2.94903e-05
0.15,-0.0221357,0.01905,3.13955e-05
0.15,-0.0219317,0.01905,3.41238e-05
0.15,-0.0217277,0.01905,3.79867e-05
0.15,-0.0215237,0.01905,4.34596e-05
0.15,-0.0213197,0.01905,5.03118e-05
0.15,-0.0211157,0.01905,5.92364e-05
0.15,-0.0209116,0.01905,7.11071e-05
0.15,-0.0207076,0.01905,8.93916e-05
0.15,-0.0205036,0.01905,0.000113281
0.15,-0.0202996,0.01905,0.000139795
0.15,-0.0200956,0.01905,0.000168537
0.15,-0.0198916,0.01905,0.000196605
0.15,-0.0196876,0.01905,0.000214198
0.15,-0.0194835,0.01905,0.000227107
0.15,-0.0192795,0.01905,0.000240003
0.15,-0.0190755,0.01905,0.000265242
0.15,-0.0188715,0.01905,0.000303179
0.15,-0.0186675,0.01905,0.000352536
0.15,-0.0184635,0.01905,0.000406868
0.15,-0.0182594,0.01905,0.000456874
0.15,-0.0180554,0.01905,0.000501197
0.15,-0.0178514,0.01905,0.000545242
0.15,-0.0176474,0.01905,0.000593176
0.15,-0.0174434,0.01905,0.000649525
0.15,-0.0172394,0.01905,0.000727458
0.15,-0.0170353,0.01905,0.000841141
0.15,-0.0168313,0.01905,0.000965467
0.15,-0.0166273,0.01905,0.00108806
0.15,-0.0164233,0.01905,0.00119416
0.15,-0.0162193,0.01905,0.00131663
0.15,-0.0160153,0.01905,0.00141888
0.15,-0.0158112,0.01905,0.00148658
0.15,-0.0156072,0.01905,0.00157568
0.15,-0.0154032,0.01905,0.00170405
0.15,-0.0151992,0.01905,0.00202315
0.15,-0.0149952,0.01905,0.00232693
0.15,-0.0147912,0.01905,0.00261853
0.15,-0.0145871,0.01905,0.00278843
0.15,-0.0143831,0.01905,0.00295081
0.15,-0.0141791,0.01905,0.00312752
0.15,-0.0139751,0.01905,0.00341572
0.15,-0.0137711,0.01905,0.00377912
0.15,-0.0135671,0.01905,0.00439731
0.15,-0.0133631,0.01905,0.00506755
0.15,-0.013159,0.01905,0.00577554
0.15,-0.012955,0.01905,0.00641209
0.15,-0.012751,0.01905,0.00697428
0.15,-0.012547,0.01905,0.00763029
0.15,-0.012343,0.01905,0.00833936
0.15,-0.012139,0.01905,0.00941034
0.15,-0.0119349,0.01905,0.0104807
0.15,-0.0117309,0.01905,0.0114971
0.15,-0.0115269,0.01905,0.0124604
0.15,-0.0113229,0.01905,0.0133722
0.15,-0.0111189,0.01905,0.0143337
0.15,-0.0109149,0.01905,0.0153472
0.15,-0.0107108,0.01905,0.0164635
0.15,-0.0105068,0.01905,0.0175815
0.15,-0.0103028,0.01905,0.0188493
0.15,-0.0100988,0.01905,0.0201067
0.15,-0.00989478,0.01905,0.0214311
0.15,-0.00969076,0.01905,0.0227785
0.15,-0.00948675,0.01905,0.024355
0.15,-0.00928273,0.01905,0.0259734
0.15,-0.00907871,0.01905,0.0278632
0.15,-0.0088747,0.01905,0.0297491
0.15,-0.00867068,0.01905,0.0315425
0.15,-0.00846667,0.01905,0.0334009
0.15,-0.00826265,0.01905,0.0354026
0.15,-0.00805863,0.01905,0.0376447
0.15,-0.00785462,0.01905,0.0407548
0.15,-0.0076506,0.01905,0.0431831
0.15,-0.00744659,0.01905,0.0431742
0.15,-0.00724257,0.01905,0.042815
0.15,-0.00703855,0.01905,0.0405724
0.15,-0.00683454,0.01905,0.0396639
0.15,-0.00663052,0.01905,0.0399488
0.15,-0.00642651,0.01905,0.0406838
0.15,-0.00622249,0.01905,0.0416988
0.15,-0.00601847,0.01905,0.0432439
0.15,-0.00581446,0.01905,0.0445649
0.15,-0.00561044,0.01905,0.0453613
0.15,-0.00540643,0.01905,0.0450114
0.15,-0.00520241,0.01905,0.0442051
0.15,-0.00499839,0.01905,0.0437159
0.15,-0.00479438,0.01905,0.0438048
0.15,-0.00459036,0.01905,0.0443611
0.15,-0.00438635,0.01905,0.0443007
0.15,-0.00418233,0.01905,0.043717
0.15,-0.00397831,0.01905,0.0428524
0.15,-0.0037743,0.01905,0.0428317
0.15,-0.00357028,0.01905,0.0428876
0.15,-0.00336627,0.01905,0.0425879
0.15,-0.00316225,0.01905,0.0419025
0.15,-0.00295823,0.01905,0.0411164
0.15,-0.00275422,0.01905,0.0404665
0.15,-0.0025502,0.01905,0.0397158
0.15,-0.00234618,0.01905,0.038548
0.15,-0.00214217,0.01905,0.0371968
0.15,-0.00193815,0.01905,0.0360645
0.15,-0.00173414,0.01905,0.0348674
0.15,-0.00153012,0.01905,0.0332803
0.15,-0.0013261,0.01905,0.031594
0.15,-0.00112209,0.01905,0.0300188
0.15,-0.000918072,0.01905,0.0284874
0.15,-0.000714056,0.01905,0.0268577
0.15,-0.00051004,0.01905,0.0252124
0.15,-0.000306024,0.01905,0.0236842
0.15,-0.000102008,0.01905,0.0275032
0.15,0.000102008,0.01905,0.038433
0.15,0.000306024,0.01905,0.0453325
0.15,0.00051004,0.01905,0.0465636
0.15,0.000714056,0.01905,0.0455658
0.15,0.000918072,0.01905,0.0446171
0.15,0.00112209,0.01905,0.0436794
0.15,0.0013261,0.01905,0.0427582
0.15,0.00153012,0.01905,0.0418235
0.15,0.00173414,0.01905,0.0404519
0.15,0.00193815,0.01905,0.039074
0.15,0.00214217,0.01905,0.0375384
0.15,0.00234618,0.01905,0.036
0.15,0.0025502,0.01905,0.034384
0.15,0.00275422,0.01905,0.032755
0.15,0.00295823,0.01905,0.0314918
0.15,0.00316225,0.01905,0.0303179
0.15,0.00336627,0.01905,0.0292677
0.15,0.00357028,0.01905,0.028288
0.15,0.0037743,0.01905,0.0270919
0.15,0.00397831,0.01905,0.0255819
0.15,0.00418233,0.01905,0.0240818
0.15,0.00438635,0.01905,0.0227037
0.15,0.00459036,0.01905,0.021335
0.15,0.00479438,0.01905,0.020064
0.15,0.00499839,0.01905,0.0188231
0.15,0.00520241,0.01905,0.0176127
0.15,0.00540643,0.01905,0.0164952
0.15,0.00561044,0.01905,0.0153778
0.15,0.00581446,0.01905,0.0145272
0.15,0.00601847,0.01905,0.0137784
0.15,0.00622249,0.01905,0.0128984
0.15,0.00642651,0.01905,0.0113883
0.15,0.00663052,0.01905,0.00987879
0.15,0.00683454,0.01905,0.00801698
0.15,0.00703855,0.01905,0.00579164
0.15,0.00724257,0.01905,0.00528749
0.15,0.00744659,0.01905,0.00489969
0.15,0.0076506,0.01905,0.00458547
0.15,0.00785462,0.01905,0.00434591
0.15,0.00805863,0.01905,0.0041396
0.15,0.00826265,0.01905,0.00387586
0.15,0.00846667,0.01905,0.00360188
0.15,0.00867068,0.01905,0.00327102
0.15,0.0088747,0.01905,0.0029529
0.15,0.00907871,0.01905,0.00265334
0.15,0.00928273,0.01905,0.00243229
0.15,0.00948675,0.01905,0.0023268
0.15,0.00969076,0.01905,0.00223919
0.15,0.00989478,0.01905,0.00217371
0.15,0.0100988,0.01905,0.00206827
0.15,0.0103028,0.01905,0.00190163
0.15,0.0105068,0.01905,0.00173157
0.15,0.0107108,0.01905,0.00156468
0.15,0.0109149,0.01905,0.00139828
0.15,0.0111189,0.01905,0.00121842
0.15,0.0113229,0.01905,0.00103782
0.15,0.0115269,0.01905,0.000893673
0.15,0.0117309,0.01905,0.000764669
0.15,0.0119349,0.01905,0.000649953
0.15,0.012139,0.01905,0.000562795
0.15,0.012343,0.01905,0.000475636
0.15,0.012547,0.01905,0.000400109
0.15,0.012751,0.01905,0.000328806
0.15,0.012955,0.01905,0.000261037
0.15,0.013159,0.01905,0.00020911
0.15,0.0133631,0.01905,0.000157471
0.15,0.0135671,0.01905,0.000110515
0.15,0.0137711,0.01905,6.5698e-05
0.15,0.0139751,0.01905,2.0881e-05
0.15,0.0141791,0.01905,9.16091e-06
0.15,0.0143831,0.01905,4.70742e-06
0.15,0.0145871,0.01905,2.53921e-07
0.15,0.0147912,0.01905,5.32525e-08
0.15,0.0149952,0.01905,2.68042e-08
0.15,0.0151992,0.01905,3.55926e-10
0.15,0.0154032,0.01905,1.59588e-11
0.15,0.0156072,0.01905,8.41759e-12
0.15,0.0158112,0.01905,8.7634e-13
0.15,0.0160153,0.01905,8.61289e-14
0.15,0.0162193,0.01905,3.16315e-14
0.15,0.0164233,0.01905,7.66982e-16
0.15,0.0166273,0.01905,4.47318e-16
0.15,0.0168313,0.01905,1.46328e-16
0.15,0.0170353,0.01905,1.11418e-16
0.15,0.0172394,0.01905,8.06863e-17
0.15,0.0174434,0.01905,7.11803e-17
0.15,0.0176474,0.01905,6.77461e-17
0.15,0.0178514,0.01905,6.54972e-17
0.15,0.0180554,0.01905,6.40494e-17
0.15,0.0182594,0.01905,6.26839e-17
0.15,0.0184635,0.01905,6.14021e-17
0.15,0.0186675,0.01905,6.01282e-17
0.15,0.0188715,0.01905,5.88647e-17
0.15,0.0190755,0.01905,5.76022e-17
0.15,0.0192795,0.01905,5.63422e-17
0.15,0.0194835,0.01905,5.5082e-17
0.15,0.0196876,0.01905,5.38231e-17
