x,y,z,QVolMean
0.245,-0.0211157,0.01905,3.58964e-07
0.245,-0.0209116,0.01905,1.96745e-06
0.245,-0.0207076,0.01905,4.76848e-06
0.245,-0.0205036,0.01905,8.48749e-06
0.245,-0.0202996,0.01905,1.32658e-05
0.245,-0.0200956,0.01905,1.89301e-05
0.245,-0.0198916,0.01905,2.41594e-05
0.245,-0.0196876,0.01905,2.82849e-05
0.245,-0.0194835,0.01905,3.10488e-05
0.245,-0.0192795,0.01905,3.18897e-05
0.245,-0.0190755,0.01905,3.09029e-05
0.245,-0.0188715,0.01905,2.95501e-05
0.245,-0.0186675,0.01905,2.84794e-05
0.245,-0.0184635,0.01905,2.76339e-05
0.245,-0.0182594,0.01905,2.72918e-05
0.245,-0.0180554,0.01905,2.74817e-05
0.245,-0.0178514,0.01905,2.80134e-05
0.245,-0.0176474,0.01905,2.88781e-05
0.245,-0.0174434,0.01905,3.02079e-05
0.245,-0.0172394,0.01905,3.18943e-05
0.245,-0.0170353,0.01905,3.38341e-05
0.245,-0.0168313,0.01905,3.61314e-05
0.245,-0.0166273,0.01905,3.88808e-05
0.245,-0.0164233,0.01905,4.20492e-05
0.245,-0.0162193,0.01905,4.55539e-05
0.245,-0.0160153,0.01905,4.94975e-05
0.245,-0.0158112,0.01905,5.43531e-05
0.245,-0.0156072,0.01905,6.05407e-05
0.245,-0.0154032,0.01905,6.9202e-05
0.245,-0.0151992,0.01905,8.31106e-05
0.245,-0.0149952,0.01905,0.000103188
0.245,-0.0147912,0.01905,0.000126574
0.245,-0.0145871,0.01905,0.00015006
0.245,-0.0143831,0.01905,0.000172621
0.245,-0.0141791,0.01905,0.000194681
0.245,-0.0139751,0.01905,0.000220297
0.245,-0.0137711,0.01905,0.000267995
0.245,-0.0135671,0.01905,0.00035963
0.245,-0.0133631,0.01905,0.000486977
0.245,-0.013159,0.01905,0.000600733
0.245,-0.012955,0.01905,0.000657926
0.245,-0.012751,0.01905,0.000647127
0.245,-0.012547,0.01905,0.000637084
0.245,-0.012343,0.01905,0.000665429
0.245,-0.012139,0.01905,0.000736998
0.245,-0.0119349,0.01905,0.000892746
0.245,-0.0117309,0.01905,0.00112723
0.245,-0.0115269,0.01905,0.00134489
0.245,-0.0113229,0.01905,0.00153207
0.245,-0.0111189,0.01905,0.00181472
0.245,-0.0109149,0.01905,0.00223319
0.245,-0.0107108,0.01905,0.00280009
0.245,-0.0105068,0.01905,0.00332845
0.245,-0.0103028,0.01905,0.00381458
0.245,-0.0100988,0.01905,0.00432632
0.245,-0.00989478,0.01905,0.00497837
0.245,-0.00969076,0.01905,0.00580651
0.245,-0.00948675,0.01905,0.00677466
0.245,-0.00928273,0.01905,0.00785255
0.245,-0.00907871,0.01905,0.00855453
0.245,-0.0088747,0.01905,0.0092111
0.245,-0.00867068,0.01905,0.0100772
0.245,-0.00846667,0.01905,0.0122181
