x,y,z,QVolMean
0.005,-0.0254,0.01905,0
0.005,-0.025196,0.01905,3.99407e-12
0.005,-0.024992,0.01905,1.46769e-11
0.005,-0.024788,0.01905,5.43722e-11
0.005,-0.0245839,0.01905,1.54647e-10
0.005,-0.0243799,0.01905,3.435e-10
0.005,-0.0241759,0.01905,7.07881e-10
0.005,-0.0239719,0.01905,1.28781e-09
0.005,-0.0237679,0.01905,2.07133e-09
0.005,-0.0235639,0.01905,3.08192e-09
0.005,-0.0233598,0.01905,4.22301e-09
0.005,-0.0231558,0.01905,5.65831e-09
0.005,-0.0229518,0.01905,7.23603e-09
0.005,-0.0227478,0.01905,8.96489e-09
0.005,-0.0225438,0.01905,1.07181e-08
0.005,-0.0223398,0.01905,1.25884e-08
0.005,-0.0221357,0.01905,1.45448e-08
0.005,-0.0219317,0.01905,1.65881e-08
0.005,-0.0217277,0.01905,1.87922e-08
0.005,-0.0215237,0.01905,2.12126e-08
0.005,-0.0213197,0.01905,2.37341e-08
0.005,-0.0211157,0.01905,2.63398e-08
0.005,-0.0209116,0.01905,2.91136e-08
0.005,-0.0207076,0.01905,3.19234e-08
0.005,-0.0205036,0.01905,3.48435e-08
0.005,-0.0202996,0.01905,3.76214e-08
0.005,-0.0200956,0.01905,4.03637e-08
0.005,-0.0198916,0.01905,4.31104e-08
0.005,-0.0196876,0.01905,4.56745e-08
0.005,-0.0194835,0.01905,4.82166e-08
0.005,-0.0192795,0.01905,5.08443e-08
0.005,-0.0190755,0.01905,5.34372e-08
0.005,-0.0188715,0.01905,5.60468e-08
0.005,-0.0186675,0.01905,5.87265e-08
0.005,-0.0184635,0.01905,6.13125e-08
0.005,-0.0182594,0.01905,6.39035e-08
0.005,-0.0180554,0.01905,6.64987e-08
0.005,-0.0178514,0.01905,6.9166e-08
0.005,-0.0176474,0.01905,7.18928e-08
0.005,-0.0174434,0.01905,7.45747e-08
0.005,-0.0172394,0.01905,7.7245e-08
0.005,-0.0170353,0.01905,7.9861e-08
0.005,-0.0168313,0.01905,8.26115e-08
0.005,-0.0166273,0.01905,8.52655e-08
0.005,-0.0164233,0.01905,8.79752e-08
0.005,-0.0162193,0.01905,9.06713e-08
0.005,-0.0160153,0.01905,9.35635e-08
0.005,-0.0158112,0.01905,9.67175e-08
0.005,-0.0156072,0.01905,9.98675e-08
0.005,-0.0154032,0.01905,1.03429e-07
0.005,-0.0151992,0.01905,1.06822e-07
0.005,-0.0149952,0.01905,1.10679e-07
