x,y,z,QVolMean
0.055,-0.0254,0.01905,1.04032e-24
0.055,-0.025196,0.01905,5.08189e-10
0.055,-0.024992,0.01905,4.29703e-09
0.055,-0.024788,0.01905,2.01548e-08
0.055,-0.0245839,0.01905,6.05463e-08
0.055,-0.0243799,0.01905,1.36444e-07
0.055,-0.0241759,0.01905,2.54522e-07
0.055,-0.0239719,0.01905,4.21822e-07
0.055,-0.0237679,0.01905,6.33876e-07
0.055,-0.0235639,0.01905,8.61846e-07
0.055,-0.0233598,0.01905,1.08633e-06
0.055,-0.0231558,0.01905,1.3055e-06
0.055,-0.0229518,0.01905,1.51845e-06
0.055,-0.0227478,0.01905,1.72809e-06
0.055,-0.0225438,0.01905,1.93562e-06
0.055,-0.0223398,0.01905,2.13659e-06
0.055,-0.0221357,0.01905,2.3416e-06
0.055,-0.0219317,0.01905,2.5694e-06
0.055,-0.0217277,0.01905,2.81414e-06
0.055,-0.0215237,0.01905,3.06159e-06
0.055,-0.0213197,0.01905,3.32442e-06
0.055,-0.0211157,0.01905,3.61997e-06
0.055,-0.0209116,0.01905,3.92462e-06
0.055,-0.0207076,0.01905,4.23773e-06
0.055,-0.0205036,0.01905,4.57619e-06
0.055,-0.0202996,0.01905,4.97519e-06
0.055,-0.0200956,0.01905,5.36514e-06
0.055,-0.0198916,0.01905,5.77884e-06
0.055,-0.0196876,0.01905,6.21767e-06
0.055,-0.0194835,0.01905,6.63745e-06
0.055,-0.0192795,0.01905,7.04807e-06
0.055,-0.0190755,0.01905,7.50014e-06
0.055,-0.0188715,0.01905,7.96839e-06
0.055,-0.0186675,0.01905,8.42194e-06
0.055,-0.0184635,0.01905,9.02164e-06
0.055,-0.0182594,0.01905,9.62601e-06
0.055,-0.0180554,0.01905,1.02937e-05
0.055,-0.0178514,0.01905,1.12581e-05
0.055,-0.0176474,0.01905,1.22634e-05
0.055,-0.0174434,0.01905,1.34819e-05
0.055,-0.0172394,0.01905,1.49245e-05
0.055,-0.0170353,0.01905,1.65967e-05
0.055,-0.0168313,0.01905,1.84214e-05
0.055,-0.0166273,0.01905,2.03993e-05
0.055,-0.0164233,0.01905,2.23542e-05
0.055,-0.0162193,0.01905,2.50221e-05
0.055,-0.0160153,0.01905,2.81851e-05
0.055,-0.0158112,0.01905,3.42292e-05
0.055,-0.0156072,0.01905,4.81057e-05
0.055,-0.0154032,0.01905,6.64396e-05
0.055,-0.0151992,0.01905,9.6203e-05
0.055,-0.0149952,0.01905,0.000133003
0.055,-0.0147912,0.01905,0.000167298
0.055,-0.0145871,0.01905,0.000209985
