x,y,z,QVolMean
0.035,-0.0254,0.01905,0
0.035,-0.025196,0.01905,1.95455e-11
0.035,-0.024992,0.01905,2.05564e-10
0.035,-0.024788,0.01905,1.0148e-09
0.035,-0.0245839,0.01905,3.08295e-09
0.035,-0.0243799,0.01905,6.92852e-09
0.035,-0.0241759,0.01905,1.28213e-08
0.035,-0.0239719,0.01905,2.1237e-08
0.035,-0.0237679,0.01905,3.08552e-08
0.035,-0.0235639,0.01905,4.15415e-08
0.035,-0.0233598,0.01905,5.31122e-08
0.035,-0.0231558,0.01905,6.54236e-08
0.035,-0.0229518,0.01905,7.88902e-08
0.035,-0.0227478,0.01905,9.25933e-08
0.035,-0.0225438,0.01905,1.0688e-07
0.035,-0.0223398,0.01905,1.2183e-07
0.035,-0.0221357,0.01905,1.38706e-07
0.035,-0.0219317,0.01905,1.56219e-07
0.035,-0.0217277,0.01905,1.748e-07
0.035,-0.0215237,0.01905,1.94503e-07
0.035,-0.0213197,0.01905,2.16634e-07
0.035,-0.0211157,0.01905,2.38951e-07
0.035,-0.0209116,0.01905,2.62289e-07
0.035,-0.0207076,0.01905,2.87251e-07
0.035,-0.0205036,0.01905,3.12183e-07
0.035,-0.0202996,0.01905,3.37873e-07
0.035,-0.0200956,0.01905,3.65198e-07
0.035,-0.0198916,0.01905,3.93997e-07
0.035,-0.0196876,0.01905,4.23732e-07
0.035,-0.0194835,0.01905,4.55068e-07
0.035,-0.0192795,0.01905,4.88123e-07
0.035,-0.0190755,0.01905,5.22096e-07
0.035,-0.0188715,0.01905,5.58453e-07
0.035,-0.0186675,0.01905,5.97909e-07
0.035,-0.0184635,0.01905,6.3906e-07
0.035,-0.0182594,0.01905,6.84702e-07
0.035,-0.0180554,0.01905,7.32992e-07
0.035,-0.0178514,0.01905,7.83447e-07
0.035,-0.0176474,0.01905,8.41322e-07
0.035,-0.0174434,0.01905,9.01405e-07
0.035,-0.0172394,0.01905,9.6556e-07
0.035,-0.0170353,0.01905,1.03651e-06
0.035,-0.0168313,0.01905,1.10789e-06
0.035,-0.0166273,0.01905,1.18604e-06
0.035,-0.0164233,0.01905,1.26483e-06
0.035,-0.0162193,0.01905,1.34661e-06
0.035,-0.0160153,0.01905,1.43452e-06
0.035,-0.0158112,0.01905,1.52216e-06
0.035,-0.0156072,0.01905,1.61637e-06
0.035,-0.0154032,0.01905,1.71e-06
0.035,-0.0151992,0.01905,1.80782e-06
0.035,-0.0149952,0.01905,1.91131e-06
0.035,-0.0147912,0.01905,2.01727e-06
0.035,-0.0145871,0.01905,2.25699e-06
0.035,-0.0143831,0.01905,2.56395e-06
0.035,-0.0141791,0.01905,3.16956e-06
0.035,-0.0139751,0.01905,3.8267e-06
0.035,-0.0137711,0.01905,4.66548e-06
0.035,-0.0135671,0.01905,5.60771e-06
0.035,-0.0133631,0.01905,6.69975e-06
0.035,-0.013159,0.01905,8.50345e-06
0.035,-0.012955,0.01905,1.06321e-05
0.035,-0.012751,0.01905,1.5878e-05
0.035,-0.012547,0.01905,2.22533e-05
0.035,-0.012343,0.01905,4.16806e-05
0.035,-0.012139,0.01905,6.20795e-05
0.035,-0.0119349,0.01905,0.000104715
0.035,-0.0117309,0.01905,0.000142051
0.035,-0.0115269,0.01905,0.000169829
0.035,-0.0113229,0.01905,0.000197526
0.035,-0.0111189,0.01905,0.000208272
0.035,-0.0109149,0.01905,0.000225118
0.035,-0.0107108,0.01905,0.000265946
0.035,-0.0105068,0.01905,0.000309323
0.035,-0.0103028,0.01905,0.000394688
0.035,-0.0100988,0.01905,0.000473
0.035,-0.00989478,0.01905,0.000559883
0.035,-0.00969076,0.01905,0.000640331
0.035,-0.00948675,0.01905,0.000697286
0.035,-0.00928273,0.01905,0.000760869
0.035,-0.00907871,0.01905,0.000882627
0.035,-0.0088747,0.01905,0.000997553
0.035,-0.00867068,0.01905,0.00125873
0.035,-0.00846667,0.01905,0.00152527
0.035,-0.00826265,0.01905,0.00192503
0.035,-0.00805863,0.01905,0.00236958
0.035,-0.00785462,0.01905,0.002936
0.035,-0.0076506,0.01905,0.0035868
0.035,-0.00744659,0.01905,0.00437292
0.035,-0.00724257,0.01905,0.0053543
0.035,-0.00703855,0.01905,0.00638626
0.035,-0.00683454,0.01905,0.00777273
0.035,-0.00663052,0.01905,0.00911918
0.035,-0.00642651,0.01905,0.0108876
0.035,-0.00622249,0.01905,0.0126379
0.035,-0.00601847,0.01905,0.014836
0.035,-0.00581446,0.01905,0.0171823
0.035,-0.00561044,0.01905,0.0196868
0.035,-0.00540643,0.01905,0.0224832
0.035,-0.00520241,0.01905,0.0244286
0.035,-0.00499839,0.01905,0.0229541
0.035,-0.00479438,0.01905,0.0215321
0.035,-0.00459036,0.01905,0.0164655
0.035,-0.00438635,0.01905,0.0159579
0.035,-0.00418233,0.01905,0.0168431
0.035,-0.00397831,0.01905,0.0177027
0.035,-0.0037743,0.01905,0.0184281
0.035,-0.00357028,0.01905,0.0188118
0.035,-0.00336627,0.01905,0.0188283
0.035,-0.00316225,0.01905,0.0186291
0.035,-0.00295823,0.01905,0.0182732
0.035,-0.00275422,0.01905,0.0177058
0.035,-0.0025502,0.01905,0.0169323
0.035,-0.00234618,0.01905,0.015968
0.035,-0.00214217,0.01905,0.0148154
0.035,-0.00193815,0.01905,0.0134934
0.035,-0.00173414,0.01905,0.0120802
0.035,-0.00153012,0.01905,0.0106718
0.035,-0.0013261,0.01905,0.00926283
0.035,-0.00112209,0.01905,0.00782071
0.035,-0.000918072,0.01905,0.00644465
0.035,-0.000714056,0.01905,0.005169
0.035,-0.00051004,0.01905,0.00408259
0.035,-0.000306024,0.01905,0.00317375
0.035,-0.000102008,0.01905,0.00241314
0.035,0.000102008,0.01905,0.00246317
0.035,0.000306024,0.01905,0.00206578
0.035,0.00051004,0.01905,0.00156399
0.035,0.000714056,0.01905,0.00113367
0.035,0.000918072,0.01905,0.000797046
0.035,0.00112209,0.01905,0.00054943
0.035,0.0013261,0.01905,0.000369843
0.035,0.00153012,0.01905,0.000244462
0.035,0.00173414,0.01905,0.000162114
0.035,0.00193815,0.01905,0.000112517
0.035,0.00214217,0.01905,8.43983e-05
0.035,0.00234618,0.01905,6.60011e-05
0.035,0.0025502,0.01905,5.01257e-05
0.035,0.00275422,0.01905,3.55959e-05
0.035,0.00295823,0.01905,2.36514e-05
0.035,0.00316225,0.01905,1.51831e-05
0.035,0.00336627,0.01905,1.00292e-05
0.035,0.00357028,0.01905,6.44285e-06
0.035,0.0037743,0.01905,3.4215e-06
0.035,0.00397831,0.01905,1.93648e-06
0.035,0.00418233,0.01905,8.6122e-07
0.035,0.00438635,0.01905,4.55914e-07
0.035,0.00459036,0.01905,1.60807e-07
0.035,0.00479438,0.01905,7.84938e-08
0.035,0.00499839,0.01905,2.03659e-08
0.035,0.00520241,0.01905,8.6933e-09
0.035,0.00540643,0.01905,1.532e-09
0.035,0.00561044,0.01905,4.78181e-10
0.035,0.00581446,0.01905,5.5545e-11
0.035,0.00601847,0.01905,7.72463e-12
0.035,0.00622249,0.01905,1.80182e-12
0.035,0.00642651,0.01905,2.16797e-14
0.035,0.00663052,0.01905,8.28884e-15
0.035,0.00683454,0.01905,1.03635e-16
0.035,0.00703855,0.01905,6.98471e-17
0.035,0.00724257,0.01905,5.34245e-17
0.035,0.00744659,0.01905,5.24797e-17
0.035,0.0076506,0.01905,5.29879e-17
0.035,0.00785462,0.01905,5.35642e-17
0.035,0.00805863,0.01905,5.43057e-17
0.035,0.00826265,0.01905,5.50472e-17
0.035,0.00846667,0.01905,5.57945e-17
0.035,0.00867068,0.01905,5.65473e-17
0.035,0.0088747,0.01905,5.72997e-17
0.035,0.00907871,0.01905,5.80534e-17
0.035,0.00928273,0.01905,5.88083e-17
0.035,0.00948675,0.01905,5.95622e-17
0.035,0.00969076,0.01905,6.03176e-17
0.035,0.00989478,0.01905,6.10733e-17
0.035,0.0100988,0.01905,6.18277e-17
0.035,0.0103028,0.01905,6.25844e-17
0.035,0.0105068,0.01905,6.33413e-17
0.035,0.0107108,0.01905,6.40967e-17
0.035,0.0109149,0.01905,6.4854e-17
0.035,0.0111189,0.01905,6.56116e-17
0.035,0.0113229,0.01905,6.6368e-17
0.035,0.0115269,0.01905,6.71255e-17
0.035,0.0117309,0.01905,6.78836e-17
0.035,0.0119349,0.01905,6.86413e-17
0.035,0.012139,0.01905,6.93984e-17
0.035,0.012343,0.01905,7.01569e-17
0.035,0.012547,0.01905,7.09154e-17
0.035,0.012751,0.01905,7.13943e-17
0.035,0.012955,0.01905,7.05193e-17
0.035,0.013159,0.01905,6.96442e-17
0.035,0.0133631,0.01905,6.87722e-17
0.035,0.0135671,0.01905,6.72696e-17
0.035,0.0137711,0.01905,6.54519e-17
0.035,0.0139751,0.01905,6.36365e-17
0.035,0.0141791,0.01905,6.23907e-17
0.035,0.0143831,0.01905,6.15406e-17
0.035,0.0145871,0.01905,6.06912e-17
0.035,0.0147912,0.01905,5.98426e-17
0.035,0.0149952,0.01905,5.8993e-17
0.035,0.0151992,0.01905,5.81443e-17
0.035,0.0154032,0.01905,5.72956e-17
0.035,0.0156072,0.01905,5.64462e-17
0.035,0.0158112,0.01905,5.55985e-17
0.035,0.0160153,0.01905,5.47488e-17
0.035,0.0162193,0.01905,5.38991e-17
0.035,0.0164233,0.01905,5.30512e-17
0.035,0.0166273,0.01905,5.22017e-17
0.035,0.0168313,0.01905,5.13535e-17
0.035,0.0170353,0.01905,5.05046e-17
0.035,0.0172394,0.01905,4.96553e-17
0.035,0.0174434,0.01905,4.88075e-17
0.035,0.0176474,0.01905,4.7958e-17
0.035,0.0178514,0.01905,4.711e-17
0.035,0.0180554,0.01905,4.62606e-17
0.035,0.0182594,0.01905,4.54123e-17
0.035,0.0184635,0.01905,4.45632e-17
0.035,0.0186675,0.01905,4.37147e-17
0.035,0.0188715,0.01905,4.28661e-17
0.035,0.0190755,0.01905,4.20174e-17
0.035,0.0192795,0.01905,4.1169e-17
0.035,0.0194835,0.01905,4.03202e-17
0.035,0.0196876,0.01905,3.94717e-17
0.035,0.0198916,0.01905,3.86233e-17
0.035,0.0200956,0.01905,3.77743e-17
0.035,0.0202996,0.01905,3.69262e-17
0.035,0.0205036,0.01905,3.60769e-17
0.035,0.0207076,0.01905,3.52287e-17
0.035,0.0209116,0.01905,3.43793e-17
0.035,0.0211157,0.01905,3.35309e-17
0.035,0.0213197,0.01905,3.26824e-17
0.035,0.0215237,0.01905,3.18328e-17
0.035,0.0217277,0.01905,3.09842e-17
0.035,0.0219317,0.01905,3.01354e-17
0.035,0.0221357,0.01905,2.92859e-17
0.035,0.0223398,0.01905,2.84372e-17
0.035,0.0225438,0.01905,2.75885e-17
0.035,0.0227478,0.01905,2.67396e-17
0.035,0.0229518,0.01905,2.58904e-17
0.035,0.0231558,0.01905,2.50421e-17
0.035,0.0233598,0.01905,2.41943e-17
0.035,0.0235639,0.01905,2.33476e-17
0.035,0.0237679,0.01905,2.2503e-17
0.035,0.0239719,0.01905,2.16623e-17
0.035,0.0241759,0.01905,2.08271e-17
0.035,0.0243799,0.01905,1.99972e-17
0.035,0.0245839,0.01905,1.91673e-17
0.035,0.024788,0.01905,1.83266e-17
0.035,0.024992,0.01905,1.74676e-17
0.035,0.025196,0.01905,1.65949e-17
0.035,0.0254,0.01905,0
