x,y,z,QVolMean
0.015,-0.0254,0.01905,-4.01117e-26
0.015,-0.025196,0.01905,2.61987e-12
0.015,-0.024992,0.01905,7.44553e-12
0.015,-0.024788,0.01905,2.12324e-11
0.015,-0.0245839,0.01905,5.98652e-11
0.015,-0.0243799,0.01905,1.48843e-10
0.015,-0.0241759,0.01905,3.18311e-10
0.015,-0.0239719,0.01905,5.74378e-10
0.015,-0.0237679,0.01905,9.04606e-10
0.015,-0.0235639,0.01905,1.31515e-09
0.015,-0.0233598,0.01905,1.85533e-09
0.015,-0.0231558,0.01905,2.51326e-09
0.015,-0.0229518,0.01905,3.29327e-09
0.015,-0.0227478,0.01905,4.20066e-09
0.015,-0.0225438,0.01905,5.24919e-09
0.015,-0.0223398,0.01905,6.50019e-09
0.015,-0.0221357,0.01905,7.83845e-09
0.015,-0.0219317,0.01905,9.23274e-09
0.015,-0.0217277,0.01905,1.06366e-08
0.015,-0.0215237,0.01905,1.21114e-08
0.015,-0.0213197,0.01905,1.37065e-08
0.015,-0.0211157,0.01905,1.53894e-08
0.015,-0.0209116,0.01905,1.72149e-08
0.015,-0.0207076,0.01905,1.92144e-08
0.015,-0.0205036,0.01905,2.1299e-08
0.015,-0.0202996,0.01905,2.35492e-08
0.015,-0.0200956,0.01905,2.61192e-08
0.015,-0.0198916,0.01905,2.87962e-08
0.015,-0.0196876,0.01905,3.16932e-08
0.015,-0.0194835,0.01905,3.49178e-08
0.015,-0.0192795,0.01905,3.81854e-08
0.015,-0.0190755,0.01905,4.16376e-08
0.015,-0.0188715,0.01905,4.57995e-08
0.015,-0.0186675,0.01905,4.99729e-08
0.015,-0.0184635,0.01905,5.48651e-08
0.015,-0.0182594,0.01905,6.02069e-08
0.015,-0.0180554,0.01905,6.56147e-08
0.015,-0.0178514,0.01905,7.17715e-08
0.015,-0.0176474,0.01905,7.80126e-08
0.015,-0.0174434,0.01905,8.4311e-08
0.015,-0.0172394,0.01905,9.11371e-08
0.015,-0.0170353,0.01905,9.78976e-08
0.015,-0.0168313,0.01905,1.05424e-07
0.015,-0.0166273,0.01905,1.13114e-07
0.015,-0.0164233,0.01905,1.20965e-07
0.015,-0.0162193,0.01905,1.29558e-07
0.015,-0.0160153,0.01905,1.3801e-07
0.015,-0.0158112,0.01905,1.4728e-07
0.015,-0.0156072,0.01905,1.56368e-07
0.015,-0.0154032,0.01905,1.6585e-07
0.015,-0.0151992,0.01905,1.75705e-07
0.015,-0.0149952,0.01905,1.85644e-07
0.015,-0.0147912,0.01905,1.96096e-07
0.015,-0.0145871,0.01905,2.06339e-07
0.015,-0.0143831,0.01905,2.17134e-07
0.015,-0.0141791,0.01905,2.2761e-07
0.015,-0.0139751,0.01905,2.38621e-07
0.015,-0.0137711,0.01905,2.49523e-07
0.015,-0.0135671,0.01905,2.60882e-07
0.015,-0.0133631,0.01905,2.72646e-07
0.015,-0.013159,0.01905,2.84976e-07
0.015,-0.012955,0.01905,2.98195e-07
0.015,-0.012751,0.01905,3.1178e-07
0.015,-0.012547,0.01905,3.26888e-07
0.015,-0.012343,0.01905,3.42036e-07
0.015,-0.012139,0.01905,3.58927e-07
0.015,-0.0119349,0.01905,3.75573e-07
0.015,-0.0117309,0.01905,3.93975e-07
0.015,-0.0115269,0.01905,4.11942e-07
0.015,-0.0113229,0.01905,4.32441e-07
0.015,-0.0111189,0.01905,4.52421e-07
0.015,-0.0109149,0.01905,4.76277e-07
0.015,-0.0107108,0.01905,4.99281e-07
0.015,-0.0105068,0.01905,5.29152e-07
0.015,-0.0103028,0.01905,5.57637e-07
0.015,-0.0100988,0.01905,5.98364e-07
0.015,-0.00989478,0.01905,6.36868e-07
0.015,-0.00969076,0.01905,7.049e-07
0.015,-0.00948675,0.01905,7.63916e-07
0.015,-0.00928273,0.01905,9.07061e-07
0.015,-0.00907871,0.01905,1.05175e-06
0.015,-0.0088747,0.01905,1.31539e-06
0.015,-0.00867068,0.01905,1.70761e-06
0.015,-0.00846667,0.01905,2.11549e-06
0.015,-0.00826265,0.01905,2.73632e-06
0.015,-0.00805863,0.01905,3.33865e-06
0.015,-0.00785462,0.01905,4.1252e-06
0.015,-0.0076506,0.01905,4.82092e-06
0.015,-0.00744659,0.01905,6.39103e-06
0.015,-0.00724257,0.01905,7.50337e-06
0.015,-0.00703855,0.01905,1.1966e-05
0.015,-0.00683454,0.01905,1.50016e-05
0.015,-0.00663052,0.01905,2.33343e-05
0.015,-0.00642651,0.01905,3.57644e-05
0.015,-0.00622249,0.01905,4.75171e-05
0.015,-0.00601847,0.01905,7.39382e-05
0.015,-0.00581446,0.01905,9.76808e-05
0.015,-0.00561044,0.01905,0.00013169
0.015,-0.00540643,0.01905,0.000164541
0.015,-0.00520241,0.01905,0.000216565
0.015,-0.00499839,0.01905,0.000274312
0.015,-0.00479438,0.01905,0.000324739
0.015,-0.00459036,0.01905,0.000347683
0.015,-0.00438635,0.01905,0.000363499
0.015,-0.00418233,0.01905,0.00038713
0.015,-0.00397831,0.01905,0.000535802
0.015,-0.0037743,0.01905,0.000787244
0.015,-0.00357028,0.01905,0.00113226
0.015,-0.00336627,0.01905,0.00159772
0.015,-0.00316225,0.01905,0.0022491
0.015,-0.00295823,0.01905,0.00309612
0.015,-0.00275422,0.01905,0.00410977
0.015,-0.0025502,0.01905,0.00523711
0.015,-0.00234618,0.01905,0.00636195
0.015,-0.00214217,0.01905,0.00729413
0.015,-0.00193815,0.01905,0.00778948
0.015,-0.00173414,0.01905,0.00750439
0.015,-0.00153012,0.01905,0.00657704
0.015,-0.0013261,0.01905,0.00518403
0.015,-0.00112209,0.01905,0.00372895
0.015,-0.000918072,0.01905,0.00250143
0.015,-0.000714056,0.01905,0.00154413
0.015,-0.00051004,0.01905,0.00085961
0.015,-0.000306024,0.01905,0.000432219
0.015,-0.000102008,0.01905,0.000195066
0.015,0.000102008,0.01905,0.000102499
0.015,0.000306024,0.01905,4.25243e-05
0.015,0.00051004,0.01905,1.46605e-05
0.015,0.000714056,0.01905,3.98596e-06
0.015,0.000918072,0.01905,1.10341e-06
0.015,0.00112209,0.01905,2.8954e-07
0.015,0.0013261,0.01905,6.05078e-08
0.015,0.00153012,0.01905,8.82122e-09
0.015,0.00173414,0.01905,1.17333e-09
0.015,0.00193815,0.01905,1.2078e-10
0.015,0.00214217,0.01905,1.20529e-11
0.015,0.00234618,0.01905,1.14554e-12
0.015,0.0025502,0.01905,1.37677e-13
0.015,0.00275422,0.01905,3.14962e-14
0.015,0.00295823,0.01905,2.41221e-15
0.015,0.00316225,0.01905,6.26694e-16
