x,y,z,QVolMean
0.11,-0.0254,0.01905,0
0.11,-0.025196,0.01905,4.33839e-07
0.11,-0.024992,0.01905,2.59187e-06
0.11,-0.024788,0.01905,6.57375e-06
0.11,-0.0245839,0.01905,1.13934e-05
0.11,-0.0243799,0.01905,1.59652e-05
0.11,-0.0241759,0.01905,1.95471e-05
0.11,-0.0239719,0.01905,2.19329e-05
0.11,-0.0237679,0.01905,2.34345e-05
0.11,-0.0235639,0.01905,2.46265e-05
0.11,-0.0233598,0.01905,2.59968e-05
0.11,-0.0231558,0.01905,2.78252e-05
0.11,-0.0229518,0.01905,3.03741e-05
0.11,-0.0227478,0.01905,3.4047e-05
0.11,-0.0225438,0.01905,3.93238e-05
0.11,-0.0223398,0.01905,4.73803e-05
0.11,-0.0221357,0.01905,5.93441e-05
0.11,-0.0219317,0.01905,7.43787e-05
0.11,-0.0217277,0.01905,9.58776e-05
0.11,-0.0215237,0.01905,0.000126412
0.11,-0.0213197,0.01905,0.0001718
0.11,-0.0211157,0.01905,0.000210197
0.11,-0.0209116,0.01905,0.000237703
0.11,-0.0207076,0.01905,0.000258075
0.11,-0.0205036,0.01905,0.000271788
0.11,-0.0202996,0.01905,0.000288987
0.11,-0.0200956,0.01905,0.000305686
0.11,-0.0198916,0.01905,0.000323267
0.11,-0.0196876,0.01905,0.00034985
0.11,-0.0194835,0.01905,0.000389141
0.11,-0.0192795,0.01905,0.000437461
0.11,-0.0190755,0.01905,0.000497945
0.11,-0.0188715,0.01905,0.000546653
0.11,-0.0186675,0.01905,0.000586972
0.11,-0.0184635,0.01905,0.000621989
0.11,-0.0182594,0.01905,0.000667582
0.11,-0.0180554,0.01905,0.000723132
0.11,-0.0178514,0.01905,0.000786211
0.11,-0.0176474,0.01905,0.000874913
0.11,-0.0174434,0.01905,0.00102002
0.11,-0.0172394,0.01905,0.00120646
0.11,-0.0170353,0.01905,0.00145201
0.11,-0.0168313,0.01905,0.00166281
0.11,-0.0166273,0.01905,0.00185413
0.11,-0.0164233,0.01905,0.00199767
0.11,-0.0162193,0.01905,0.0021672
0.11,-0.0160153,0.01905,0.00234192
0.11,-0.0158112,0.01905,0.00258183
0.11,-0.0156072,0.01905,0.0028383
