x,y,z,QVolMean
0.21,-0.024788,0.01905,8.38634e-07
0.21,-0.0245839,0.01905,5.4891e-06
0.21,-0.0243799,0.01905,1.3096e-05
0.21,-0.0241759,0.01905,2.10311e-05
0.21,-0.0239719,0.01905,2.71756e-05
0.21,-0.0237679,0.01905,3.13252e-05
0.21,-0.0235639,0.01905,3.52354e-05
0.21,-0.0233598,0.01905,3.86369e-05
0.21,-0.0231558,0.01905,4.05858e-05
0.21,-0.0229518,0.01905,4.08757e-05
0.21,-0.0227478,0.01905,3.95621e-05
0.21,-0.0225438,0.01905,3.74174e-05
0.21,-0.0223398,0.01905,3.57371e-05
0.21,-0.0221357,0.01905,3.47326e-05
0.21,-0.0219317,0.01905,3.41969e-05
0.21,-0.0217277,0.01905,3.39428e-05
0.21,-0.0215237,0.01905,3.39321e-05
0.21,-0.0213197,0.01905,3.41635e-05
0.21,-0.0211157,0.01905,3.46343e-05
0.21,-0.0209116,0.01905,3.52378e-05
0.21,-0.0207076,0.01905,3.60516e-05
0.21,-0.0205036,0.01905,3.73232e-05
0.21,-0.0202996,0.01905,3.90254e-05
0.21,-0.0200956,0.01905,4.0956e-05
0.21,-0.0198916,0.01905,4.29547e-05
0.21,-0.0196876,0.01905,4.48847e-05
0.21,-0.0194835,0.01905,4.67513e-05
0.21,-0.0192795,0.01905,4.86323e-05
0.21,-0.0190755,0.01905,5.05979e-05
0.21,-0.0188715,0.01905,5.28072e-05
0.21,-0.0186675,0.01905,5.53053e-05
0.21,-0.0184635,0.01905,5.82684e-05
0.21,-0.0182594,0.01905,6.19924e-05
0.21,-0.0180554,0.01905,6.69186e-05
0.21,-0.0178514,0.01905,7.316e-05
0.21,-0.0176474,0.01905,8.12081e-05
0.21,-0.0174434,0.01905,9.17272e-05
0.21,-0.0172394,0.01905,0.000104037
0.21,-0.0170353,0.01905,0.000119287
0.21,-0.0168313,0.01905,0.000138855
0.21,-0.0166273,0.01905,0.000167405
0.21,-0.0164233,0.01905,0.000203179
0.21,-0.0162193,0.01905,0.000249373
0.21,-0.0160153,0.01905,0.000304294
0.21,-0.0158112,0.01905,0.000380306
0.21,-0.0156072,0.01905,0.000510739
0.21,-0.0154032,0.01905,0.000800216
0.21,-0.0151992,0.01905,0.00115992
0.21,-0.0149952,0.01905,0.00155656
0.21,-0.0147912,0.01905,0.0017124
0.21,-0.0145871,0.01905,0.00181198
0.21,-0.0143831,0.01905,0.00182538
0.21,-0.0141791,0.01905,0.00224291
0.21,-0.0139751,0.01905,0.00265748
0.21,-0.0137711,0.01905,0.00322628
0.21,-0.0135671,0.01905,0.00333782
0.21,-0.0133631,0.01905,0.00348051
0.21,-0.013159,0.01905,0.00354827
