x,y,z,QVolMean
0.265,-0.0190755,0.01905,9.29961e-08
0.265,-0.0188715,0.01905,1.03873e-06
0.265,-0.0186675,0.01905,2.7619e-06
0.265,-0.0184635,0.01905,4.95254e-06
0.265,-0.0182594,0.01905,8.47516e-06
0.265,-0.0180554,0.01905,1.30491e-05
0.265,-0.0178514,0.01905,1.78522e-05
0.265,-0.0176474,0.01905,2.22804e-05
0.265,-0.0174434,0.01905,2.56039e-05
0.265,-0.0172394,0.01905,2.71791e-05
0.265,-0.0170353,0.01905,2.76129e-05
0.265,-0.0168313,0.01905,2.74934e-05
0.265,-0.0166273,0.01905,2.70063e-05
0.265,-0.0164233,0.01905,2.67312e-05
0.265,-0.0162193,0.01905,2.68965e-05
0.265,-0.0160153,0.01905,2.72383e-05
0.265,-0.0158112,0.01905,2.78835e-05
0.265,-0.0156072,0.01905,2.88627e-05
0.265,-0.0154032,0.01905,3.03097e-05
0.265,-0.0151992,0.01905,3.22263e-05
0.265,-0.0149952,0.01905,3.45834e-05
0.265,-0.0147912,0.01905,3.75521e-05
0.265,-0.0145871,0.01905,4.11882e-05
0.265,-0.0143831,0.01905,4.56148e-05
0.265,-0.0141791,0.01905,5.06289e-05
0.265,-0.0139751,0.01905,5.63191e-05
0.265,-0.0137711,0.01905,6.31759e-05
0.265,-0.0135671,0.01905,7.17278e-05
0.265,-0.0133631,0.01905,8.25484e-05
0.265,-0.013159,0.01905,9.55411e-05
0.265,-0.012955,0.01905,0.000110127
0.265,-0.012751,0.01905,0.000126898
0.265,-0.012547,0.01905,0.000147838
0.265,-0.012343,0.01905,0.000180066
0.265,-0.012139,0.01905,0.000251233
0.265,-0.0119349,0.01905,0.000354412
0.265,-0.0117309,0.01905,0.000427617
0.265,-0.0115269,0.01905,0.000470175
0.265,-0.0113229,0.01905,0.000525546
0.265,-0.0111189,0.01905,0.000578314
0.265,-0.0109149,0.01905,0.000614053
0.265,-0.0107108,0.01905,0.000666795
0.265,-0.0105068,0.01905,0.000761886
0.265,-0.0103028,0.01905,0.000915511
0.265,-0.0100988,0.01905,0.00112864
0.265,-0.00989478,0.01905,0.00139743
0.265,-0.00969076,0.01905,0.00170793
0.265,-0.00948675,0.01905,0.00203811
0.265,-0.00928273,0.01905,0.00237177
0.265,-0.00907871,0.01905,0.00270363
0.265,-0.0088747,0.01905,0.0030121
0.265,-0.00867068,0.01905,0.0034713
0.265,-0.00846667,0.01905,0.00510513
0.265,-0.00826265,0.01905,0.00695708
0.265,-0.00805863,0.01905,0.00842808
0.265,-0.00785462,0.01905,0.00955005
0.265,-0.0076506,0.01905,0.0104054
0.265,-0.00744659,0.01905,0.0115139
0.265,-0.00724257,0.01905,0.0127671
0.265,-0.00703855,0.01905,0.0145655
0.265,-0.00683454,0.01905,0.0165077
0.265,-0.00663052,0.01905,0.0190796
0.265,-0.00642651,0.01905,0.0216707
0.265,-0.00622249,0.01905,0.0242652
0.265,-0.00601847,0.01905,0.0265203
0.265,-0.00581446,0.01905,0.0286643
0.265,-0.00561044,0.01905,0.0310992
0.265,-0.00540643,0.01905,0.0338118
0.265,-0.00520241,0.01905,0.0367936
0.265,-0.00499839,0.01905,0.0394548
0.265,-0.00479438,0.01905,0.0420811
0.265,-0.00459036,0.01905,0.0447523
0.265,-0.00438635,0.01905,0.0463327
0.265,-0.00418233,0.01905,0.047112
0.265,-0.00397831,0.01905,0.0471018
0.265,-0.0037743,0.01905,0.0472859
0.265,-0.00357028,0.01905,0.0478364
0.265,-0.00336627,0.01905,0.048661
0.265,-0.00316225,0.01905,0.0497477
0.265,-0.00295823,0.01905,0.0505812
0.265,-0.00275422,0.01905,0.050492
0.265,-0.0025502,0.01905,0.0495336
0.265,-0.00234618,0.01905,0.0479044
0.265,-0.00214217,0.01905,0.0461256
0.265,-0.00193815,0.01905,0.0452141
0.265,-0.00173414,0.01905,0.0451552
0.265,-0.00153012,0.01905,0.0449291
0.265,-0.0013261,0.01905,0.0442632
0.265,-0.00112209,0.01905,0.0434846
0.265,-0.000918072,0.01905,0.0427992
0.265,-0.000714056,0.01905,0.0418129
0.265,-0.00051004,0.01905,0.0402689
0.265,-0.000306024,0.01905,0.038238
0.265,-0.000102008,0.01905,0.0426689
0.265,0.000102008,0.01905,0.0524893
0.265,0.000306024,0.01905,0.0591046
0.265,0.00051004,0.01905,0.0588861
0.265,0.000714056,0.01905,0.0570451
0.265,0.000918072,0.01905,0.056272
0.265,0.00112209,0.01905,0.0551083
0.265,0.0013261,0.01905,0.052864
0.265,0.00153012,0.01905,0.0501361
0.265,0.00173414,0.01905,0.0467125
0.265,0.00193815,0.01905,0.0436729
0.265,0.00214217,0.01905,0.0409584
0.265,0.00234618,0.01905,0.0388424
0.265,0.0025502,0.01905,0.0371936
0.265,0.00275422,0.01905,0.0355458
0.265,0.00295823,0.01905,0.0337953
0.265,0.00316225,0.01905,0.031998
0.265,0.00336627,0.01905,0.0299795
0.265,0.00357028,0.01905,0.0280315
0.265,0.0037743,0.01905,0.0262273
0.265,0.00397831,0.01905,0.0244459
0.265,0.00418233,0.01905,0.0228773
0.265,0.00438635,0.01905,0.0213091
0.265,0.00459036,0.01905,0.0197294
0.265,0.00479438,0.01905,0.0181216
0.265,0.00499839,0.01905,0.0168919
0.265,0.00520241,0.01905,0.0159167
0.265,0.00540643,0.01905,0.0151887
0.265,0.00561044,0.01905,0.0160172
0.265,0.00581446,0.01905,0.0168472
0.265,0.00601847,0.01905,0.0154226
0.265,0.00622249,0.01905,0.0129951
0.265,0.00642651,0.01905,0.00979148
0.265,0.00663052,0.01905,0.00275158
0.265,0.00683454,0.01905,0.0024329
0.265,0.00703855,0.01905,0.00220866
0.265,0.00724257,0.01905,0.00206258
0.265,0.00744659,0.01905,0.00191135
0.265,0.0076506,0.01905,0.00171783
0.265,0.00785462,0.01905,0.00147574
0.265,0.00805863,0.01905,0.00129302
0.265,0.00826265,0.01905,0.00114679
0.265,0.00846667,0.01905,0.0010125
0.265,0.00867068,0.01905,0.000852687
0.265,0.0088747,0.01905,0.000691904
0.265,0.00907871,0.01905,0.000544287
0.265,0.00928273,0.01905,0.000421313
0.265,0.00948675,0.01905,0.000331533
0.265,0.00969076,0.01905,0.000251563
0.265,0.00989478,0.01905,0.00016766
0.265,0.0100988,0.01905,9.44152e-05
0.265,0.0103028,0.01905,2.66435e-05
0.265,0.0105068,0.01905,4.8495e-06
0.265,0.0107108,0.01905,4.16279e-07
0.265,0.0109149,0.01905,2.72113e-08
0.265,0.0111189,0.01905,3.3433e-10
0.265,0.0113229,0.01905,1.63117e-10
0.265,0.0115269,0.01905,8.04468e-12
0.265,0.0117309,0.01905,4.19986e-12
0.265,0.0119349,0.01905,6.58961e-13
0.265,0.012139,0.01905,3.77193e-13
0.265,0.012343,0.01905,9.37802e-14
0.265,0.012547,0.01905,5.7081e-14
0.265,0.012751,0.01905,2.03593e-14
0.265,0.012955,0.01905,8.17749e-15
0.265,0.013159,0.01905,1.98866e-15
0.265,0.0133631,0.01905,9.9621e-16
0.265,0.0135671,0.01905,4.48123e-16
0.265,0.0137711,0.01905,2.24842e-16
0.265,0.0139751,0.01905,1.60175e-16
0.265,0.0141791,0.01905,1.20291e-16
0.265,0.0143831,0.01905,1.0016e-16
0.265,0.0145871,0.01905,9.05399e-17
0.265,0.0147912,0.01905,8.45526e-17
0.265,0.0149952,0.01905,8.01091e-17
0.265,0.0151992,0.01905,7.65655e-17
0.265,0.0154032,0.01905,7.35356e-17
0.265,0.0156072,0.01905,7.07564e-17
0.265,0.0158112,0.01905,6.80902e-17
0.265,0.0160153,0.01905,6.54818e-17
0.265,0.0162193,0.01905,6.29035e-17
0.265,0.0164233,0.01905,6.03421e-17
0.265,0.0166273,0.01905,5.77908e-17
0.265,0.0168313,0.01905,5.5247e-17
0.265,0.0170353,0.01905,5.27091e-17
0.265,0.0172394,0.01905,5.01752e-17
0.265,0.0174434,0.01905,4.7643e-17
0.265,0.0176474,0.01905,4.51104e-17
0.265,0.0178514,0.01905,4.25737e-17
0.265,0.0180554,0.01905,4.00316e-17
0.265,0.0182594,0.01905,3.74843e-17
0.265,0.0184635,0.01905,3.49364e-17
0.265,0.0186675,0.01905,3.2392e-17
0.265,0.0188715,0.01905,2.98488e-17
0.265,0.0190755,0.01905,2.72984e-17
