x,y,z,QVolMean
0.23,-0.0227478,0.01905,1.94059e-07
0.23,-0.0225438,0.01905,1.76068e-06
0.23,-0.0223398,0.01905,5.45148e-06
0.23,-0.0221357,0.01905,1.03259e-05
0.23,-0.0219317,0.01905,1.60852e-05
0.23,-0.0217277,0.01905,2.25409e-05
0.23,-0.0215237,0.01905,2.86102e-05
0.23,-0.0213197,0.01905,3.34117e-05
0.23,-0.0211157,0.01905,3.60241e-05
0.23,-0.0209116,0.01905,3.55688e-05
0.23,-0.0207076,0.01905,3.33415e-05
0.23,-0.0205036,0.01905,3.0838e-05
0.23,-0.0202996,0.01905,2.91473e-05
0.23,-0.0200956,0.01905,2.83732e-05
0.23,-0.0198916,0.01905,2.81361e-05
0.23,-0.0196876,0.01905,2.83133e-05
0.23,-0.0194835,0.01905,2.87402e-05
0.23,-0.0192795,0.01905,2.94179e-05
0.23,-0.0190755,0.01905,3.0386e-05
0.23,-0.0188715,0.01905,3.16555e-05
0.23,-0.0186675,0.01905,3.31628e-05
0.23,-0.0184635,0.01905,3.49749e-05
0.23,-0.0182594,0.01905,3.72305e-05
0.23,-0.0180554,0.01905,3.97035e-05
0.23,-0.0178514,0.01905,4.19866e-05
0.23,-0.0176474,0.01905,4.41299e-05
0.23,-0.0174434,0.01905,4.66115e-05
0.23,-0.0172394,0.01905,4.98283e-05
0.23,-0.0170353,0.01905,5.40118e-05
0.23,-0.0168313,0.01905,5.95592e-05
0.23,-0.0166273,0.01905,6.70485e-05
0.23,-0.0164233,0.01905,7.70498e-05
0.23,-0.0162193,0.01905,9.04078e-05
0.23,-0.0160153,0.01905,0.000109969
0.23,-0.0158112,0.01905,0.000136675
0.23,-0.0156072,0.01905,0.000166999
0.23,-0.0154032,0.01905,0.000200734
0.23,-0.0151992,0.01905,0.000247414
0.23,-0.0149952,0.01905,0.00037003
0.23,-0.0147912,0.01905,0.000481772
0.23,-0.0145871,0.01905,0.00055548
0.23,-0.0143831,0.01905,0.000585977
0.23,-0.0141791,0.01905,0.000636032
0.23,-0.0139751,0.01905,0.000785009
0.23,-0.0137711,0.01905,0.000976755
0.23,-0.0135671,0.01905,0.00121179
0.23,-0.0133631,0.01905,0.00139099
0.23,-0.013159,0.01905,0.00155351
0.23,-0.012955,0.01905,0.00165799
0.23,-0.012751,0.01905,0.00175671
0.23,-0.012547,0.01905,0.00188872
0.23,-0.012343,0.01905,0.00218941
0.23,-0.012139,0.01905,0.00267027
0.23,-0.0119349,0.01905,0.00332463
0.23,-0.0117309,0.01905,0.00410978
0.23,-0.0115269,0.01905,0.0048348
0.23,-0.0113229,0.01905,0.00533031
0.23,-0.0111189,0.01905,0.0055945
0.23,-0.0109149,0.01905,0.00593312
0.23,-0.0107108,0.01905,0.00653923
0.23,-0.0105068,0.01905,0.00726318
0.23,-0.0103028,0.01905,0.00810227
0.23,-0.0100988,0.01905,0.00914321
0.23,-0.00989478,0.01905,0.0102211
0.23,-0.00969076,0.01905,0.0113029
0.23,-0.00948675,0.01905,0.0122705
0.23,-0.00928273,0.01905,0.0133023
0.23,-0.00907871,0.01905,0.014401
0.23,-0.0088747,0.01905,0.0150998
0.23,-0.00867068,0.01905,0.0164097
0.23,-0.00846667,0.01905,0.0183703
0.23,-0.00826265,0.01905,0.02054
0.23,-0.00805863,0.01905,0.022933
0.23,-0.00785462,0.01905,0.02491
0.23,-0.0076506,0.01905,0.0269663
0.23,-0.00744659,0.01905,0.0296946
0.23,-0.00724257,0.01905,0.0326707
0.23,-0.00703855,0.01905,0.0366155
0.23,-0.00683454,0.01905,0.0413261
0.23,-0.00663052,0.01905,0.0466574
0.23,-0.00642651,0.01905,0.0508538
0.23,-0.00622249,0.01905,0.0540683
0.23,-0.00601847,0.01905,0.0558604
0.23,-0.00581446,0.01905,0.0581597
0.23,-0.00561044,0.01905,0.0613978
0.23,-0.00540643,0.01905,0.0656764
0.23,-0.00520241,0.01905,0.069295
0.23,-0.00499839,0.01905,0.0715881
0.23,-0.00479438,0.01905,0.0725022
0.23,-0.00459036,0.01905,0.0736672
0.23,-0.00438635,0.01905,0.075815
0.23,-0.00418233,0.01905,0.0780156
0.23,-0.00397831,0.01905,0.0797116
0.23,-0.0037743,0.01905,0.080981
0.23,-0.00357028,0.01905,0.0822652
0.23,-0.00336627,0.01905,0.0831505
0.23,-0.00316225,0.01905,0.0835252
0.23,-0.00295823,0.01905,0.0838491
0.23,-0.00275422,0.01905,0.0845701
0.23,-0.0025502,0.01905,0.0850994
0.23,-0.00234618,0.01905,0.0852491
0.23,-0.00214217,0.01905,0.0847065
0.23,-0.00193815,0.01905,0.0838591
0.23,-0.00173414,0.01905,0.0825328
0.23,-0.00153012,0.01905,0.0806845
0.23,-0.0013261,0.01905,0.0782696
0.23,-0.00112209,0.01905,0.0753156
0.23,-0.000918072,0.01905,0.072663
0.23,-0.000714056,0.01905,0.070564
0.23,-0.00051004,0.01905,0.0683775
0.23,-0.000306024,0.01905,0.0652397
0.23,-0.000102008,0.01905,0.0814889
0.23,0.000102008,0.01905,0.112638
0.23,0.000306024,0.01905,0.133108
0.23,0.00051004,0.01905,0.144646
0.23,0.000714056,0.01905,0.145595
0.23,0.000918072,0.01905,0.145844
0.23,0.00112209,0.01905,0.144887
0.23,0.0013261,0.01905,0.143397
0.23,0.00153012,0.01905,0.140789
0.23,0.00173414,0.01905,0.13787
0.23,0.00193815,0.01905,0.134134
0.23,0.00214217,0.01905,0.130525
0.23,0.00234618,0.01905,0.125502
0.23,0.0025502,0.01905,0.119969
0.23,0.00275422,0.01905,0.114697
0.23,0.00295823,0.01905,0.109893
0.23,0.00316225,0.01905,0.105026
0.23,0.00336627,0.01905,0.100198
0.23,0.00357028,0.01905,0.0956121
0.23,0.0037743,0.01905,0.0914034
0.23,0.00397831,0.01905,0.0873346
0.23,0.00418233,0.01905,0.0828177
0.23,0.00438635,0.01905,0.0798323
0.23,0.00459036,0.01905,0.0766692
0.23,0.00479438,0.01905,0.0731042
0.23,0.00499839,0.01905,0.0691622
0.23,0.00520241,0.01905,0.065399
0.23,0.00540643,0.01905,0.0620179
0.23,0.00561044,0.01905,0.0587958
0.23,0.00581446,0.01905,0.0554326
0.23,0.00601847,0.01905,0.0530899
0.23,0.00622249,0.01905,0.0507764
0.23,0.00642651,0.01905,0.0481899
0.23,0.00663052,0.01905,0.0467002
0.23,0.00683454,0.01905,0.0451077
0.23,0.00703855,0.01905,0.0430434
0.23,0.00724257,0.01905,0.0374564
0.23,0.00744659,0.01905,0.0318565
0.23,0.0076506,0.01905,0.0259632
0.23,0.00785462,0.01905,0.0133375
0.23,0.00805863,0.01905,0.00982649
0.23,0.00826265,0.01905,0.00938263
0.23,0.00846667,0.01905,0.00900272
0.23,0.00867068,0.01905,0.00891268
0.23,0.0088747,0.01905,0.00863215
0.23,0.00907871,0.01905,0.00822724
0.23,0.00928273,0.01905,0.00726719
0.23,0.00948675,0.01905,0.00630355
0.23,0.00969076,0.01905,0.00532751
0.23,0.00989478,0.01905,0.00458884
0.23,0.0100988,0.01905,0.00396806
0.23,0.0103028,0.01905,0.00356572
0.23,0.0105068,0.01905,0.00327686
0.23,0.0107108,0.01905,0.0031381
0.23,0.0109149,0.01905,0.0030447
0.23,0.0111189,0.01905,0.00301774
0.23,0.0113229,0.01905,0.00289357
0.23,0.0115269,0.01905,0.00274074
0.23,0.0117309,0.01905,0.00221961
0.23,0.0119349,0.01905,0.00157749
0.23,0.012139,0.01905,0.00117469
0.23,0.012343,0.01905,0.000786004
0.23,0.012547,0.01905,0.000605369
0.23,0.012751,0.01905,0.000477134
0.23,0.012955,0.01905,0.000311521
0.23,0.013159,0.01905,0.000121878
0.23,0.0133631,0.01905,2.66997e-06
0.23,0.0135671,0.01905,1.56353e-06
0.23,0.0137711,0.01905,2.95432e-09
0.23,0.0139751,0.01905,2.18949e-09
0.23,0.0141791,0.01905,6.43199e-10
0.23,0.0143831,0.01905,1.41539e-11
0.23,0.0145871,0.01905,8.61165e-12
0.23,0.0147912,0.01905,1.28e-12
0.23,0.0149952,0.01905,9.14102e-13
0.23,0.0151992,0.01905,4.52506e-13
0.23,0.0154032,0.01905,1.8722e-13
0.23,0.0156072,0.01905,8.8518e-14
0.23,0.0158112,0.01905,3.68673e-14
0.23,0.0160153,0.01905,1.78108e-14
0.23,0.0162193,0.01905,9.10675e-15
0.23,0.0164233,0.01905,3.76564e-15
0.23,0.0166273,0.01905,2.32464e-15
0.23,0.0168313,0.01905,9.93861e-16
0.23,0.0170353,0.01905,6.14387e-16
0.23,0.0172394,0.01905,3.27177e-16
0.23,0.0174434,0.01905,1.88083e-16
0.23,0.0176474,0.01905,1.44631e-16
0.23,0.0178514,0.01905,1.11086e-16
0.23,0.0180554,0.01905,9.74165e-17
0.23,0.0182594,0.01905,9.15005e-17
0.23,0.0184635,0.01905,8.69387e-17
0.23,0.0186675,0.01905,8.35701e-17
0.23,0.0188715,0.01905,8.07344e-17
0.23,0.0190755,0.01905,7.80473e-17
0.23,0.0192795,0.01905,7.54229e-17
0.23,0.0194835,0.01905,7.28348e-17
0.23,0.0196876,0.01905,7.0265e-17
0.23,0.0198916,0.01905,6.7704e-17
0.23,0.0200956,0.01905,6.51495e-17
0.23,0.0202996,0.01905,6.25999e-17
0.23,0.0205036,0.01905,6.00544e-17
0.23,0.0207076,0.01905,5.75116e-17
0.23,0.0209116,0.01905,5.49699e-17
0.23,0.0211157,0.01905,5.24271e-17
0.23,0.0213197,0.01905,4.98806e-17
0.23,0.0215237,0.01905,4.73283e-17
0.23,0.0217277,0.01905,4.47676e-17
0.23,0.0219317,0.01905,4.21991e-17
0.23,0.0221357,0.01905,3.96242e-17
0.23,0.0223398,0.01905,3.70467e-17
0.23,0.0225438,0.01905,3.44696e-17
0.23,0.0227478,0.01905,3.18875e-17
