x,y,z,QVolMean
0.13,-0.0254,0.01905,0
0.13,-0.025196,0.01905,6.19653e-07
0.13,-0.024992,0.01905,2.85159e-06
0.13,-0.024788,0.01905,6.92027e-06
0.13,-0.0245839,0.01905,1.22069e-05
0.13,-0.0243799,0.01905,1.73079e-05
0.13,-0.0241759,0.01905,2.08378e-05
0.13,-0.0239719,0.01905,2.2679e-05
0.13,-0.0237679,0.01905,2.35727e-05
0.13,-0.0235639,0.01905,2.42372e-05
0.13,-0.0233598,0.01905,2.47721e-05
0.13,-0.0231558,0.01905,2.52227e-05
0.13,-0.0229518,0.01905,2.59405e-05
0.13,-0.0227478,0.01905,2.6778e-05
0.13,-0.0225438,0.01905,2.77228e-05
0.13,-0.0223398,0.01905,2.89449e-05
0.13,-0.0221357,0.01905,3.07323e-05
0.13,-0.0219317,0.01905,3.35037e-05
0.13,-0.0217277,0.01905,3.75339e-05
0.13,-0.0215237,0.01905,4.26986e-05
0.13,-0.0213197,0.01905,4.95042e-05
0.13,-0.0211157,0.01905,5.82609e-05
0.13,-0.0209116,0.01905,7.13243e-05
0.13,-0.0207076,0.01905,9.79031e-05
0.13,-0.0205036,0.01905,0.000140944
0.13,-0.0202996,0.01905,0.000196658
0.13,-0.0200956,0.01905,0.000270188
0.13,-0.0198916,0.01905,0.000275796
0.13,-0.0196876,0.01905,0.000258681
0.13,-0.0194835,0.01905,0.000217104
0.13,-0.0192795,0.01905,0.000218703
0.13,-0.0190755,0.01905,0.000239998
0.13,-0.0188715,0.01905,0.000278913
0.13,-0.0186675,0.01905,0.000336574
0.13,-0.0184635,0.01905,0.000397663
0.13,-0.0182594,0.01905,0.000452887
0.13,-0.0180554,0.01905,0.000505176
0.13,-0.0178514,0.01905,0.000572897
0.13,-0.0176474,0.01905,0.00065844
0.13,-0.0174434,0.01905,0.000764292
0.13,-0.0172394,0.01905,0.000939078
0.13,-0.0170353,0.01905,0.00115974
0.13,-0.0168313,0.01905,0.0014418
0.13,-0.0166273,0.01905,0.00167902
0.13,-0.0164233,0.01905,0.00189291
0.13,-0.0162193,0.01905,0.00204874
0.13,-0.0160153,0.01905,0.00223671
0.13,-0.0158112,0.01905,0.00244604
0.13,-0.0156072,0.01905,0.00276048
0.13,-0.0154032,0.01905,0.00312504
0.13,-0.0151992,0.01905,0.00352725
0.13,-0.0149952,0.01905,0.00389929
0.13,-0.0147912,0.01905,0.00426612
0.13,-0.0145871,0.01905,0.00462475
0.13,-0.0143831,0.01905,0.00509385
0.13,-0.0141791,0.01905,0.00562853
0.13,-0.0139751,0.01905,0.00617384
0.13,-0.0137711,0.01905,0.00663748
0.13,-0.0135671,0.01905,0.00691111
0.13,-0.0133631,0.01905,0.00717794
0.13,-0.013159,0.01905,0.00744203
0.13,-0.012955,0.01905,0.00798185
0.13,-0.012751,0.01905,0.00858121
0.13,-0.012547,0.01905,0.00937088
0.13,-0.012343,0.01905,0.01018
0.13,-0.012139,0.01905,0.0110506
0.13,-0.0119349,0.01905,0.0119468
0.13,-0.0117309,0.01905,0.0128803
0.13,-0.0115269,0.01905,0.01387
0.13,-0.0113229,0.01905,0.0149119
0.13,-0.0111189,0.01905,0.0161364
0.13,-0.0109149,0.01905,0.0174138
0.13,-0.0107108,0.01905,0.018927
0.13,-0.0105068,0.01905,0.0204407
0.13,-0.0103028,0.01905,0.021833
0.13,-0.0100988,0.01905,0.023188
0.13,-0.00989478,0.01905,0.0242499
0.13,-0.00969076,0.01905,0.0253641
0.13,-0.00948675,0.01905,0.0265152
0.13,-0.00928273,0.01905,0.0277116
0.13,-0.00907871,0.01905,0.029009
0.13,-0.0088747,0.01905,0.030432
0.13,-0.00867068,0.01905,0.0322593
0.13,-0.00846667,0.01905,0.0343005
0.13,-0.00826265,0.01905,0.0370129
0.13,-0.00805863,0.01905,0.0397177
0.13,-0.00785462,0.01905,0.042363
0.13,-0.0076506,0.01905,0.0451066
0.13,-0.00744659,0.01905,0.0480902
0.13,-0.00724257,0.01905,0.0505287
0.13,-0.00703855,0.01905,0.0491538
0.13,-0.00683454,0.01905,0.0476968
0.13,-0.00663052,0.01905,0.0434238
0.13,-0.00642651,0.01905,0.0413172
0.13,-0.00622249,0.01905,0.04158
0.13,-0.00601847,0.01905,0.0418331
0.13,-0.00581446,0.01905,0.0420238
0.13,-0.00561044,0.01905,0.0421333
0.13,-0.00540643,0.01905,0.0422753
0.13,-0.00520241,0.01905,0.0423639
0.13,-0.00499839,0.01905,0.0424164
0.13,-0.00479438,0.01905,0.0424267
0.13,-0.00459036,0.01905,0.0421554
0.13,-0.00438635,0.01905,0.0417879
0.13,-0.00418233,0.01905,0.0414302
0.13,-0.00397831,0.01905,0.0412158
0.13,-0.0037743,0.01905,0.0407668
0.13,-0.00357028,0.01905,0.0398616
0.13,-0.00336627,0.01905,0.0388905
0.13,-0.00316225,0.01905,0.0381718
0.13,-0.00295823,0.01905,0.0376737
0.13,-0.00275422,0.01905,0.0370662
0.13,-0.0025502,0.01905,0.0361664
0.13,-0.00234618,0.01905,0.035144
0.13,-0.00214217,0.01905,0.0340865
0.13,-0.00193815,0.01905,0.0327266
0.13,-0.00173414,0.01905,0.0309719
0.13,-0.00153012,0.01905,0.0292088
0.13,-0.0013261,0.01905,0.0277694
0.13,-0.00112209,0.01905,0.0263784
0.13,-0.000918072,0.01905,0.0249147
0.13,-0.000714056,0.01905,0.0236118
0.13,-0.00051004,0.01905,0.022328
0.13,-0.000306024,0.01905,0.0208396
0.13,-0.000102008,0.01905,0.0228351
0.13,0.000102008,0.01905,0.0315295
0.13,0.000306024,0.01905,0.0371299
0.13,0.00051004,0.01905,0.0370888
0.13,0.000714056,0.01905,0.0363532
0.13,0.000918072,0.01905,0.0356906
0.13,0.00112209,0.01905,0.0348678
0.13,0.0013261,0.01905,0.0338834
0.13,0.00153012,0.01905,0.0327369
0.13,0.00173414,0.01905,0.0315449
0.13,0.00193815,0.01905,0.0301843
0.13,0.00214217,0.01905,0.0288132
0.13,0.00234618,0.01905,0.0275251
0.13,0.0025502,0.01905,0.0262625
0.13,0.00275422,0.01905,0.0251864
0.13,0.00295823,0.01905,0.024121
0.13,0.00316225,0.01905,0.0231066
0.13,0.00336627,0.01905,0.0220569
0.13,0.00357028,0.01905,0.0207773
0.13,0.0037743,0.01905,0.0194987
0.13,0.00397831,0.01905,0.0182357
0.13,0.00418233,0.01905,0.0169787
0.13,0.00438635,0.01905,0.0158782
0.13,0.00459036,0.01905,0.0148039
0.13,0.00479438,0.01905,0.0138075
0.13,0.00499839,0.01905,0.0128413
0.13,0.00520241,0.01905,0.0119507
0.13,0.00540643,0.01905,0.011176
0.13,0.00561044,0.01905,0.0103932
0.13,0.00581446,0.01905,0.0090714
0.13,0.00601847,0.01905,0.00776115
0.13,0.00622249,0.01905,0.0062966
0.13,0.00642651,0.01905,0.00475607
0.13,0.00663052,0.01905,0.00444974
0.13,0.00683454,0.01905,0.00415995
0.13,0.00703855,0.01905,0.00390616
0.13,0.00724257,0.01905,0.00367963
0.13,0.00744659,0.01905,0.00346584
0.13,0.0076506,0.01905,0.00319082
0.13,0.00785462,0.01905,0.00289752
0.13,0.00805863,0.01905,0.00257203
0.13,0.00826265,0.01905,0.0022609
0.13,0.00846667,0.01905,0.00205375
0.13,0.00867068,0.01905,0.0018965
0.13,0.0088747,0.01905,0.00189957
0.13,0.00907871,0.01905,0.00189109
0.13,0.00928273,0.01905,0.00182594
0.13,0.00948675,0.01905,0.00174627
0.13,0.00969076,0.01905,0.00150689
0.13,0.00989478,0.01905,0.00126839
