x,y,z,QVolMean
0.195,-0.0254,0.01905,-4.06837e-21
0.195,-0.025196,0.01905,2.75372e-07
0.195,-0.024992,0.01905,1.85558e-06
0.195,-0.024788,0.01905,6.12489e-06
0.195,-0.0245839,0.01905,1.11168e-05
0.195,-0.0243799,0.01905,1.52683e-05
0.195,-0.0241759,0.01905,1.87368e-05
0.195,-0.0239719,0.01905,2.1127e-05
0.195,-0.0237679,0.01905,2.29793e-05
0.195,-0.0235639,0.01905,2.44612e-05
0.195,-0.0233598,0.01905,2.53644e-05
0.195,-0.0231558,0.01905,2.51781e-05
0.195,-0.0229518,0.01905,2.40809e-05
0.195,-0.0227478,0.01905,2.25843e-05
0.195,-0.0225438,0.01905,2.1112e-05
0.195,-0.0223398,0.01905,1.99459e-05
0.195,-0.0221357,0.01905,1.92385e-05
0.195,-0.0219317,0.01905,1.89283e-05
0.195,-0.0217277,0.01905,1.91328e-05
0.195,-0.0215237,0.01905,1.97946e-05
0.195,-0.0213197,0.01905,2.06787e-05
0.195,-0.0211157,0.01905,2.16166e-05
0.195,-0.0209116,0.01905,2.25077e-05
0.195,-0.0207076,0.01905,2.3317e-05
0.195,-0.0205036,0.01905,2.41012e-05
0.195,-0.0202996,0.01905,2.49545e-05
0.195,-0.0200956,0.01905,2.59305e-05
0.195,-0.0198916,0.01905,2.70428e-05
0.195,-0.0196876,0.01905,2.82843e-05
0.195,-0.0194835,0.01905,2.96661e-05
0.195,-0.0192795,0.01905,3.12414e-05
0.195,-0.0190755,0.01905,3.30274e-05
0.195,-0.0188715,0.01905,3.50471e-05
0.195,-0.0186675,0.01905,3.76467e-05
0.195,-0.0184635,0.01905,4.07632e-05
0.195,-0.0182594,0.01905,4.43896e-05
0.195,-0.0180554,0.01905,4.85896e-05
0.195,-0.0178514,0.01905,5.35902e-05
0.195,-0.0176474,0.01905,6.00714e-05
0.195,-0.0174434,0.01905,6.83958e-05
0.195,-0.0172394,0.01905,8.10442e-05
0.195,-0.0170353,0.01905,9.7136e-05
0.195,-0.0168313,0.01905,0.000123619
0.195,-0.0166273,0.01905,0.000175396
0.195,-0.0164233,0.01905,0.000242991
0.195,-0.0162193,0.01905,0.000312233
0.195,-0.0160153,0.01905,0.000377142
0.195,-0.0158112,0.01905,0.000430362
0.195,-0.0156072,0.01905,0.000475421
0.195,-0.0154032,0.01905,0.000506904
0.195,-0.0151992,0.01905,0.000582135
0.195,-0.0149952,0.01905,0.000674838
0.195,-0.0147912,0.01905,0.000781777
0.195,-0.0145871,0.01905,0.00097275
0.195,-0.0143831,0.01905,0.00121228
0.195,-0.0141791,0.01905,0.00148071
0.195,-0.0139751,0.01905,0.00174391
0.195,-0.0137711,0.01905,0.00199847
0.195,-0.0135671,0.01905,0.0023023
0.195,-0.0133631,0.01905,0.00258805
0.195,-0.013159,0.01905,0.00274343
0.195,-0.012955,0.01905,0.00304815
0.195,-0.012751,0.01905,0.00349464
0.195,-0.012547,0.01905,0.00400825
0.195,-0.012343,0.01905,0.00448692
0.195,-0.012139,0.01905,0.00462713
0.195,-0.0119349,0.01905,0.00478525
0.195,-0.0117309,0.01905,0.00497113
0.195,-0.0115269,0.01905,0.00535063
0.195,-0.0113229,0.01905,0.00583426
0.195,-0.0111189,0.01905,0.00649604
0.195,-0.0109149,0.01905,0.00719454
0.195,-0.0107108,0.01905,0.00801072
0.195,-0.0105068,0.01905,0.00875612
0.195,-0.0103028,0.01905,0.00932767
0.195,-0.0100988,0.01905,0.01003
0.195,-0.00989478,0.01905,0.0108848
0.195,-0.00969076,0.01905,0.0119103
0.195,-0.00948675,0.01905,0.0130451
0.195,-0.00928273,0.01905,0.0142418
0.195,-0.00907871,0.01905,0.0154551
0.195,-0.0088747,0.01905,0.0169296
0.195,-0.00867068,0.01905,0.0184494
0.195,-0.00846667,0.01905,0.0198812
0.195,-0.00826265,0.01905,0.021306
