x,y,z,QdotMean
0.025,-0.0254,0.01905,0.00442332
0.025,-0.025196,0.01905,0.00442332
0.025,-0.024992,0.01905,0.0850022
0.025,-0.024788,0.01905,1.09206
0.025,-0.0245839,0.01905,5.08207
0.025,-0.0243799,0.01905,12.9378
0.025,-0.0241759,0.01905,12.9378
0.025,-0.0239719,0.01905,23.4171
0.025,-0.0237679,0.01905,35.7856
0.025,-0.0235639,0.01905,50.6572
0.025,-0.0233598,0.01905,65.2056
0.025,-0.0231558,0.01905,65.2056
0.025,-0.0229518,0.01905,80.977
0.025,-0.0227478,0.01905,97.1503
0.025,-0.0225438,0.01905,114.743
0.025,-0.0223398,0.01905,114.743
0.025,-0.0221357,0.01905,133.224
0.025,-0.0219317,0.01905,154.104
0.025,-0.0217277,0.01905,177.31
0.025,-0.0215237,0.01905,177.31
0.025,-0.0213197,0.01905,203.892
0.025,-0.0211157,0.01905,230.74
0.025,-0.0209116,0.01905,230.74
0.025,-0.0207076,0.01905,260.992
0.025,-0.0205036,0.01905,293.192
0.025,-0.0202996,0.01905,324.391
0.025,-0.0200956,0.01905,324.391
0.025,-0.0198916,0.01905,354.882
0.025,-0.0196876,0.01905,385.789
0.025,-0.0194835,0.01905,385.789
0.025,-0.0192795,0.01905,415.936
0.025,-0.0190755,0.01905,450.343
0.025,-0.0188715,0.01905,450.343
0.025,-0.0186675,0.01905,488.341
0.025,-0.0184635,0.01905,488.341
0.025,-0.0182594,0.01905,529.218
0.025,-0.0180554,0.01905,580.474
0.025,-0.0178514,0.01905,580.474
0.025,-0.0176474,0.01905,629.702
0.025,-0.0174434,0.01905,677.852
0.025,-0.0172394,0.01905,677.852
0.025,-0.0170353,0.01905,736.068
0.025,-0.0168313,0.01905,736.068
0.025,-0.0166273,0.01905,792.391
0.025,-0.0164233,0.01905,857.644
0.025,-0.0162193,0.01905,857.644
0.025,-0.0160153,0.01905,926.497
0.025,-0.0158112,0.01905,926.497
0.025,-0.0156072,0.01905,997.877
0.025,-0.0154032,0.01905,997.877
0.025,-0.0151992,0.01905,1070.38
0.025,-0.0149952,0.01905,1145.23
0.025,-0.0147912,0.01905,1145.23
0.025,-0.0145871,0.01905,1220.88
0.025,-0.0143831,0.01905,1220.88
0.025,-0.0141791,0.01905,1306.06
0.025,-0.0139751,0.01905,1306.06
0.025,-0.0137711,0.01905,1395.57
0.025,-0.0135671,0.01905,1395.57
0.025,-0.0133631,0.01905,1489.49
0.025,-0.013159,0.01905,1600.43
0.025,-0.012955,0.01905,1600.43
0.025,-0.012751,0.01905,1746.19
0.025,-0.012547,0.01905,1746.19
0.025,-0.012343,0.01905,1966.02
0.025,-0.012139,0.01905,1966.02
0.025,-0.0119349,0.01905,2586.85
0.025,-0.0117309,0.01905,2586.85
0.025,-0.0115269,0.01905,5569.31
0.025,-0.0113229,0.01905,5569.31
0.025,-0.0111189,0.01905,8449.7
0.025,-0.0109149,0.01905,8449.7
0.025,-0.0107108,0.01905,10621.1
0.025,-0.0105068,0.01905,10621.1
0.025,-0.0103028,0.01905,14568.2
0.025,-0.0100988,0.01905,14568.2
0.025,-0.00989478,0.01905,22776.6
0.025,-0.00969076,0.01905,22776.6
0.025,-0.00948675,0.01905,40112.9
0.025,-0.00928273,0.01905,40112.9
0.025,-0.00907871,0.01905,114808
0.025,-0.0088747,0.01905,114808
0.025,-0.00867068,0.01905,213160
0.025,-0.00846667,0.01905,213160
0.025,-0.00826265,0.01905,213160
0.025,-0.00805863,0.01905,226001
0.025,-0.00785462,0.01905,226001
0.025,-0.0076506,0.01905,369373
0.025,-0.00744659,0.01905,369373
0.025,-0.00724257,0.01905,619867
0.025,-0.00703855,0.01905,619867
0.025,-0.00683454,0.01905,1.06133e+06
0.025,-0.00663052,0.01905,1.06133e+06
0.025,-0.00642651,0.01905,1.78516e+06
0.025,-0.00622249,0.01905,1.78516e+06
0.025,-0.00601847,0.01905,1.78516e+06
0.025,-0.00581446,0.01905,3.08601e+06
0.025,-0.00561044,0.01905,3.08601e+06
0.025,-0.00540643,0.01905,5.23197e+06
0.025,-0.00520241,0.01905,5.23197e+06
0.025,-0.00499839,0.01905,8.84452e+06
0.025,-0.00479438,0.01905,8.84452e+06
0.025,-0.00459036,0.01905,8.84452e+06
0.025,-0.00438635,0.01905,1.23935e+07
0.025,-0.00418233,0.01905,1.53035e+07
0.025,-0.00397831,0.01905,1.82947e+07
0.025,-0.0037743,0.01905,2.09011e+07
0.025,-0.00357028,0.01905,2.36923e+07
0.025,-0.00336627,0.01905,2.67146e+07
0.025,-0.00316225,0.01905,3.29317e+07
0.025,-0.00295823,0.01905,3.58275e+07
0.025,-0.00275422,0.01905,3.8382e+07
0.025,-0.0025502,0.01905,3.91628e+07
0.025,-0.00234618,0.01905,3.93507e+07
0.025,-0.00214217,0.01905,3.93385e+07
0.025,-0.00193815,0.01905,3.87258e+07
