x,y,z,QdotMean
0.24,-0.0217277,0.01905,5.49312
0.24,-0.0215237,0.01905,1660.03
0.24,-0.0213197,0.01905,5194.13
0.24,-0.0211157,0.01905,9433.01
0.24,-0.0209116,0.01905,14560.2
0.24,-0.0207076,0.01905,25298.1
0.24,-0.0205036,0.01905,29633.2
0.24,-0.0202996,0.01905,34671.3
0.24,-0.0200956,0.01905,42690.3
0.24,-0.0198916,0.01905,57673.1
0.24,-0.0196876,0.01905,80711.4
0.24,-0.0194835,0.01905,235354
0.24,-0.0192795,0.01905,497951
0.24,-0.0190755,0.01905,264356
0.24,-0.0188715,0.01905,192032
0.24,-0.0186675,0.01905,139174
0.24,-0.0184635,0.01905,131266
0.24,-0.0182594,0.01905,117232
0.24,-0.0180554,0.01905,119981
0.24,-0.0178514,0.01905,122998
0.24,-0.0176474,0.01905,126277
0.24,-0.0174434,0.01905,127966
0.24,-0.0172394,0.01905,131580
0.24,-0.0170353,0.01905,149779
0.24,-0.0168313,0.01905,164550
0.24,-0.0166273,0.01905,165579
0.24,-0.0164233,0.01905,158997
0.24,-0.0162193,0.01905,180868
0.24,-0.0160153,0.01905,189303
0.24,-0.0158112,0.01905,188915
0.24,-0.0156072,0.01905,213618
0.24,-0.0154032,0.01905,213618
0.24,-0.0151992,0.01905,235170
0.24,-0.0149952,0.01905,268167
0.24,-0.0147912,0.01905,320222
0.24,-0.0145871,0.01905,363504
0.24,-0.0143831,0.01905,405141
0.24,-0.0141791,0.01905,438372
0.24,-0.0139751,0.01905,438372
0.24,-0.0137711,0.01905,451470
0.24,-0.0135671,0.01905,549973
0.24,-0.0133631,0.01905,997160
0.24,-0.013159,0.01905,1.19273e+06
0.24,-0.012955,0.01905,995264
0.24,-0.012751,0.01905,995264
0.24,-0.012547,0.01905,930404
0.24,-0.012343,0.01905,987475
0.24,-0.012139,0.01905,1.41985e+06
0.24,-0.0119349,0.01905,1.41985e+06
0.24,-0.0117309,0.01905,1.63979e+06
0.24,-0.0115269,0.01905,1.94951e+06
0.24,-0.0113229,0.01905,2.12898e+06
0.24,-0.0111189,0.01905,2.12898e+06
0.24,-0.0109149,0.01905,2.56608e+06
0.24,-0.0107108,0.01905,3.29838e+06
0.24,-0.0105068,0.01905,3.79484e+06
0.24,-0.0103028,0.01905,3.79484e+06
0.24,-0.0100988,0.01905,4.56343e+06
0.24,-0.00989478,0.01905,5.1397e+06
0.24,-0.00969076,0.01905,5.1397e+06
0.24,-0.00948675,0.01905,6.36648e+06
0.24,-0.00928273,0.01905,8.39098e+06
0.24,-0.00907871,0.01905,8.39098e+06
0.24,-0.0088747,0.01905,9.35649e+06
0.24,-0.00867068,0.01905,9.75277e+06
0.24,-0.00846667,0.01905,9.75277e+06
0.24,-0.00826265,0.01905,1.0918e+07
0.24,-0.00805863,0.01905,1.0918e+07
0.24,-0.00785462,0.01905,1.19323e+07
0.24,-0.0076506,0.01905,1.27103e+07
0.24,-0.00744659,0.01905,1.27103e+07
0.24,-0.00724257,0.01905,1.51246e+07
0.24,-0.00703855,0.01905,1.51246e+07
0.24,-0.00683454,0.01905,1.93228e+07
0.24,-0.00663052,0.01905,1.93228e+07
0.24,-0.00642651,0.01905,2.4382e+07
0.24,-0.00622249,0.01905,2.4382e+07
0.24,-0.00601847,0.01905,2.70878e+07
0.24,-0.00581446,0.01905,2.93501e+07
0.24,-0.00561044,0.01905,2.93501e+07
0.24,-0.00540643,0.01905,3.52789e+07
0.24,-0.00520241,0.01905,3.93692e+07
0.24,-0.00499839,0.01905,3.93692e+07
0.24,-0.00479438,0.01905,4.22129e+07
0.24,-0.00459036,0.01905,4.41524e+07
0.24,-0.00438635,0.01905,4.41524e+07
0.24,-0.00418233,0.01905,4.7918e+07
0.24,-0.00397831,0.01905,4.99927e+07
0.24,-0.0037743,0.01905,4.99927e+07
0.24,-0.00357028,0.01905,5.11674e+07
0.24,-0.00336627,0.01905,5.03697e+07
0.24,-0.00316225,0.01905,5.17753e+07
0.24,-0.00295823,0.01905,5.17753e+07
0.24,-0.00275422,0.01905,5.46639e+07
0.24,-0.0025502,0.01905,5.55967e+07
0.24,-0.00234618,0.01905,5.8062e+07
0.24,-0.00214217,0.01905,5.87853e+07
0.24,-0.00193815,0.01905,5.87853e+07
0.24,-0.00173414,0.01905,5.98549e+07
0.24,-0.00153012,0.01905,6.01124e+07
0.24,-0.0013261,0.01905,6.02988e+07
0.24,-0.00112209,0.01905,5.99972e+07
0.24,-0.000918072,0.01905,5.90613e+07
0.24,-0.000714056,0.01905,5.65846e+07
0.24,-0.00051004,0.01905,5.58443e+07
0.24,-0.000306024,0.01905,5.50405e+07
0.24,-0.000102008,0.01905,5.33449e+07
0.24,0.000102008,0.01905,5.81983e+07
0.24,0.000306024,0.01905,5.81983e+07
0.24,0.00051004,0.01905,5.86404e+07
0.24,0.000714056,0.01905,5.86404e+07
0.24,0.000918072,0.01905,5.72745e+07
0.24,0.00112209,0.01905,5.72745e+07
0.24,0.0013261,0.01905,5.13544e+07
0.24,0.00153012,0.01905,5.13544e+07
0.24,0.00173414,0.01905,4.68928e+07
0.24,0.00193815,0.01905,4.68928e+07
0.24,0.00214217,0.01905,4.3054e+07
0.24,0.00234618,0.01905,4.3054e+07
0.24,0.0025502,0.01905,3.81105e+07
0.24,0.00275422,0.01905,3.81105e+07
0.24,0.00295823,0.01905,3.81105e+07
0.24,0.00316225,0.01905,3.3016e+07
0.24,0.00336627,0.01905,3.3016e+07
0.24,0.00357028,0.01905,3.03474e+07
0.24,0.0037743,0.01905,3.03474e+07
0.24,0.00397831,0.01905,3.03474e+07
0.24,0.00418233,0.01905,2.76045e+07
0.24,0.00438635,0.01905,2.76045e+07
0.24,0.00459036,0.01905,2.30763e+07
0.24,0.00479438,0.01905,2.30763e+07
0.24,0.00499839,0.01905,2.30763e+07
0.24,0.00520241,0.01905,1.66685e+07
0.24,0.00540643,0.01905,1.66685e+07
0.24,0.00561044,0.01905,1.62906e+07
0.24,0.00581446,0.01905,1.62906e+07
0.24,0.00601847,0.01905,1.62906e+07
0.24,0.00622249,0.01905,1.30029e+07
0.24,0.00642651,0.01905,1.30029e+07
0.24,0.00663052,0.01905,1.30029e+07
0.24,0.00683454,0.01905,1.62765e+07
0.24,0.00703855,0.01905,1.62765e+07
0.24,0.00724257,0.01905,1.62765e+07
0.24,0.00744659,0.01905,7.94872e+06
0.24,0.0076506,0.01905,7.87223e+06
0.24,0.00785462,0.01905,7.37659e+06
0.24,0.00805863,0.01905,7.37659e+06
0.24,0.00826265,0.01905,6.7267e+06
0.24,0.00846667,0.01905,4.81442e+06
0.24,0.00867068,0.01905,4.00461e+06
0.24,0.0088747,0.01905,4.00461e+06
0.24,0.00907871,0.01905,3.41048e+06
0.24,0.00928273,0.01905,2.91376e+06
0.24,0.00948675,0.01905,2.91376e+06
0.24,0.00969076,0.01905,2.78389e+06
0.24,0.00989478,0.01905,2.78389e+06
0.24,0.0100988,0.01905,2.61398e+06
0.24,0.0103028,0.01905,1.77449e+06
0.24,0.0105068,0.01905,1.77449e+06
0.24,0.0107108,0.01905,1.35574e+06
0.24,0.0109149,0.01905,1.35574e+06
0.24,0.0111189,0.01905,1.3689e+06
0.24,0.0113229,0.01905,1.3689e+06
0.24,0.0115269,0.01905,751296
0.24,0.0117309,0.01905,751296
0.24,0.0119349,0.01905,414659
0.24,0.012139,0.01905,414659
0.24,0.012343,0.01905,352557
0.24,0.012547,0.01905,352557
0.24,0.012751,0.01905,180314
0.24,0.012955,0.01905,180314
0.24,0.013159,0.01905,180375
0.24,0.0133631,0.01905,180375
0.24,0.0135671,0.01905,180375
0.24,0.0137711,0.01905,111588
0.24,0.0139751,0.01905,111588
0.24,0.0141791,0.01905,17741.6
0.24,0.0143831,0.01905,17741.6
0.24,0.0145871,0.01905,337.886
0.24,0.0147912,0.01905,337.886
0.24,0.0149952,0.01905,1.96345
0.24,0.0151992,0.01905,1.96345
0.24,0.0154032,0.01905,0.00565313
0.24,0.0156072,0.01905,0.00565313
0.24,0.0158112,0.01905,4.61286e-05
0.24,0.0160153,0.01905,3.34159e-06
0.24,0.0162193,0.01905,3.34159e-06
0.24,0.0164233,0.01905,3.96423e-07
0.24,0.0166273,0.01905,3.96423e-07
0.24,0.0168313,0.01905,1.04803e-07
0.24,0.0170353,0.01905,6.74405e-08
0.24,0.0172394,0.01905,6.05083e-08
0.24,0.0174434,0.01905,6.05083e-08
0.24,0.0176474,0.01905,5.86508e-08
0.24,0.0178514,0.01905,5.8014e-08
0.24,0.0180554,0.01905,5.77761e-08
0.24,0.0182594,0.01905,5.77761e-08
0.24,0.0184635,0.01905,5.7683e-08
0.24,0.0186675,0.01905,5.76458e-08
0.24,0.0188715,0.01905,5.76311e-08
0.24,0.0190755,0.01905,5.76276e-08
0.24,0.0192795,0.01905,5.76316e-08
0.24,0.0194835,0.01905,5.76415e-08
0.24,0.0196876,0.01905,5.76556e-08
0.24,0.0198916,0.01905,5.76727e-08
0.24,0.0200956,0.01905,5.77105e-08
