x,y,z,QdotMean
0.11,-0.0254,0.01905,107.783
0.11,-0.025196,0.01905,107.783
0.11,-0.024992,0.01905,6075
0.11,-0.024788,0.01905,39034.4
0.11,-0.0245839,0.01905,120146
0.11,-0.0243799,0.01905,188741
0.11,-0.0241759,0.01905,203866
0.11,-0.0239719,0.01905,217981
0.11,-0.0237679,0.01905,215907
0.11,-0.0235639,0.01905,210166
0.11,-0.0233598,0.01905,210166
0.11,-0.0231558,0.01905,206671
0.11,-0.0229518,0.01905,206681
0.11,-0.0227478,0.01905,209054
0.11,-0.0225438,0.01905,216852
0.11,-0.0223398,0.01905,216852
0.11,-0.0221357,0.01905,231494
0.11,-0.0219317,0.01905,255174
0.11,-0.0217277,0.01905,272546
0.11,-0.0215237,0.01905,342354
0.11,-0.0213197,0.01905,342354
0.11,-0.0211157,0.01905,452306
0.11,-0.0209116,0.01905,451717
0.11,-0.0207076,0.01905,389013
0.11,-0.0205036,0.01905,389013
0.11,-0.0202996,0.01905,375128
0.11,-0.0200956,0.01905,391685
0.11,-0.0198916,0.01905,410074
0.11,-0.0196876,0.01905,410074
0.11,-0.0194835,0.01905,469717
0.11,-0.0192795,0.01905,588783
0.11,-0.0190755,0.01905,588783
0.11,-0.0188715,0.01905,699861
0.11,-0.0186675,0.01905,811658
0.11,-0.0184635,0.01905,979524
0.11,-0.0182594,0.01905,979524
0.11,-0.0180554,0.01905,1.19938e+06
0.11,-0.0178514,0.01905,1.36988e+06
0.11,-0.0176474,0.01905,1.36988e+06
0.11,-0.0174434,0.01905,1.64269e+06
0.11,-0.0172394,0.01905,2.42267e+06
0.11,-0.0170353,0.01905,2.42267e+06
0.11,-0.0168313,0.01905,2.79273e+06
0.11,-0.0166273,0.01905,2.79273e+06
0.11,-0.0164233,0.01905,2.88013e+06
0.11,-0.0162193,0.01905,3.23695e+06
0.11,-0.0160153,0.01905,3.23695e+06
0.11,-0.0158112,0.01905,3.87924e+06
0.11,-0.0156072,0.01905,4.40333e+06
0.11,-0.0154032,0.01905,4.40333e+06
0.11,-0.0151992,0.01905,5.07551e+06
0.11,-0.0149952,0.01905,5.07551e+06
0.11,-0.0147912,0.01905,5.59139e+06
0.11,-0.0145871,0.01905,6.71436e+06
0.11,-0.0143831,0.01905,6.71436e+06
0.11,-0.0141791,0.01905,8.11242e+06
0.11,-0.0139751,0.01905,8.11242e+06
0.11,-0.0137711,0.01905,8.80731e+06
0.11,-0.0135671,0.01905,8.80731e+06
0.11,-0.0133631,0.01905,9.69567e+06
0.11,-0.013159,0.01905,1.11503e+07
0.11,-0.012955,0.01905,1.11503e+07
0.11,-0.012751,0.01905,1.27587e+07
0.11,-0.012547,0.01905,1.27587e+07
0.11,-0.012343,0.01905,1.4017e+07
0.11,-0.012139,0.01905,1.4017e+07
0.11,-0.0119349,0.01905,1.43795e+07
0.11,-0.0117309,0.01905,1.43795e+07
0.11,-0.0115269,0.01905,1.61355e+07
0.11,-0.0113229,0.01905,1.92044e+07
0.11,-0.0111189,0.01905,1.92044e+07
0.11,-0.0109149,0.01905,2.14228e+07
0.11,-0.0107108,0.01905,2.14228e+07
0.11,-0.0105068,0.01905,2.40606e+07
0.11,-0.0103028,0.01905,2.40606e+07
0.11,-0.0100988,0.01905,2.51582e+07
0.11,-0.00989478,0.01905,2.51582e+07
0.11,-0.00969076,0.01905,2.683e+07
0.11,-0.00948675,0.01905,2.683e+07
0.11,-0.00928273,0.01905,2.88016e+07
0.11,-0.00907871,0.01905,2.88016e+07
0.11,-0.0088747,0.01905,3.2836e+07
0.11,-0.00867068,0.01905,3.2836e+07
0.11,-0.00846667,0.01905,3.84051e+07
0.11,-0.00826265,0.01905,3.84051e+07
0.11,-0.00805863,0.01905,4.21551e+07
0.11,-0.00785462,0.01905,4.21551e+07
0.11,-0.0076506,0.01905,4.60593e+07
0.11,-0.00744659,0.01905,4.60593e+07
0.11,-0.00724257,0.01905,4.95137e+07
0.11,-0.00703855,0.01905,4.95137e+07
0.11,-0.00683454,0.01905,5.34631e+07
0.11,-0.00663052,0.01905,5.34631e+07
0.11,-0.00642651,0.01905,5.34631e+07
0.11,-0.00622249,0.01905,5.61661e+07
0.11,-0.00601847,0.01905,6.03682e+07
0.11,-0.00581446,0.01905,6.25907e+07
0.11,-0.00561044,0.01905,6.25907e+07
0.11,-0.00540643,0.01905,6.49147e+07
0.11,-0.00520241,0.01905,6.47184e+07
0.11,-0.00499839,0.01905,6.47184e+07
0.11,-0.00479438,0.01905,6.63464e+07
0.11,-0.00459036,0.01905,6.59767e+07
0.11,-0.00438635,0.01905,6.69808e+07
0.11,-0.00418233,0.01905,6.73406e+07
0.11,-0.00397831,0.01905,6.5532e+07
0.11,-0.0037743,0.01905,6.5532e+07
0.11,-0.00357028,0.01905,6.5022e+07
0.11,-0.00336627,0.01905,6.53956e+07
0.11,-0.00316225,0.01905,6.62004e+07
0.11,-0.00295823,0.01905,6.6522e+07
0.11,-0.00275422,0.01905,6.62904e+07
0.11,-0.0025502,0.01905,6.62378e+07
0.11,-0.00234618,0.01905,6.5848e+07
0.11,-0.00214217,0.01905,6.53021e+07
0.11,-0.00193815,0.01905,6.48779e+07
0.11,-0.00173414,0.01905,6.39208e+07
0.11,-0.00153012,0.01905,6.26968e+07
0.11,-0.0013261,0.01905,6.12763e+07
0.11,-0.00112209,0.01905,5.91462e+07
0.11,-0.000918072,0.01905,5.57361e+07
0.11,-0.000714056,0.01905,5.38819e+07
0.11,-0.00051004,0.01905,5.19575e+07
0.11,-0.000306024,0.01905,5.05755e+07
0.11,-0.000102008,0.01905,4.65235e+07
0.11,0.000102008,0.01905,4.61307e+07
0.11,0.000306024,0.01905,4.48369e+07
0.11,0.00051004,0.01905,4.48369e+07
0.11,0.000714056,0.01905,4.12706e+07
0.11,0.000918072,0.01905,3.78069e+07
0.11,0.00112209,0.01905,3.78069e+07
0.11,0.0013261,0.01905,3.46226e+07
0.11,0.00153012,0.01905,3.46226e+07
0.11,0.00173414,0.01905,3.23561e+07
0.11,0.00193815,0.01905,3.04757e+07
0.11,0.00214217,0.01905,3.04757e+07
0.11,0.00234618,0.01905,2.63877e+07
0.11,0.0025502,0.01905,2.63877e+07
0.11,0.00275422,0.01905,2.22342e+07
0.11,0.00295823,0.01905,2.22342e+07
0.11,0.00316225,0.01905,1.87505e+07
0.11,0.00336627,0.01905,1.87505e+07
0.11,0.00357028,0.01905,1.64996e+07
0.11,0.0037743,0.01905,1.37714e+07
0.11,0.00397831,0.01905,1.37714e+07
0.11,0.00418233,0.01905,1.20432e+07
0.11,0.00438635,0.01905,1.20432e+07
0.11,0.00459036,0.01905,1.20432e+07
0.11,0.00479438,0.01905,9.15826e+06
0.11,0.00499839,0.01905,9.15826e+06
0.11,0.00520241,0.01905,7.67137e+06
0.11,0.00540643,0.01905,7.67137e+06
0.11,0.00561044,0.01905,6.3479e+06
0.11,0.00581446,0.01905,5.28186e+06
0.11,0.00601847,0.01905,5.28186e+06
0.11,0.00622249,0.01905,4.15764e+06
0.11,0.00642651,0.01905,4.15764e+06
0.11,0.00663052,0.01905,2.81063e+06
0.11,0.00683454,0.01905,2.81063e+06
0.11,0.00703855,0.01905,2.1476e+06
0.11,0.00724257,0.01905,2.1476e+06
0.11,0.00744659,0.01905,1.92697e+06
0.11,0.0076506,0.01905,1.55916e+06
0.11,0.00785462,0.01905,1.55916e+06
0.11,0.00805863,0.01905,1.36797e+06
0.11,0.00826265,0.01905,1.36797e+06
0.11,0.00846667,0.01905,1.36797e+06
0.11,0.00867068,0.01905,1.19614e+06
0.11,0.0088747,0.01905,1.19614e+06
0.11,0.00907871,0.01905,454681
0.11,0.00928273,0.01905,454681
0.11,0.00948675,0.01905,165867
0.11,0.00969076,0.01905,165867
0.11,0.00989478,0.01905,45147.8
0.11,0.0100988,0.01905,45147.8
0.11,0.0103028,0.01905,45147.8
0.11,0.0105068,0.01905,2597.07
0.11,0.0107108,0.01905,2597.07
0.11,0.0109149,0.01905,22.225
0.11,0.0111189,0.01905,22.225
0.11,0.0113229,0.01905,22.225
0.11,0.0115269,0.01905,0.00243597
0.11,0.0117309,0.01905,0.00243597
0.11,0.0119349,0.01905,8.06128e-06
0.11,0.012139,0.01905,8.06128e-06
0.11,0.012343,0.01905,8.06128e-06
0.11,0.012547,0.01905,7.22368e-07
0.11,0.012751,0.01905,7.22368e-07
0.11,0.012955,0.01905,7.22368e-07
0.11,0.013159,0.01905,1.37857e-07
0.11,0.0133631,0.01905,1.37857e-07
0.11,0.0135671,0.01905,1.37857e-07
0.11,0.0137711,0.01905,8.74714e-08
0.11,0.0139751,0.01905,8.74714e-08
0.11,0.0141791,0.01905,8.74714e-08
0.11,0.0143831,0.01905,6.98153e-08
0.11,0.0145871,0.01905,6.98153e-08
0.11,0.0147912,0.01905,6.98153e-08
0.11,0.0149952,0.01905,6.98153e-08
0.11,0.0151992,0.01905,6.03387e-08
0.11,0.0154032,0.01905,6.03387e-08
0.11,0.0156072,0.01905,5.82127e-08
0.11,0.0158112,0.01905,5.82127e-08
0.11,0.0160153,0.01905,5.82127e-08
0.11,0.0162193,0.01905,5.78435e-08
0.11,0.0164233,0.01905,5.78435e-08
0.11,0.0166273,0.01905,5.78118e-08
0.11,0.0168313,0.01905,5.78118e-08
0.11,0.0170353,0.01905,5.78118e-08
0.11,0.0172394,0.01905,5.78002e-08
0.11,0.0174434,0.01905,5.78002e-08
0.11,0.0176474,0.01905,5.77947e-08
0.11,0.0178514,0.01905,5.77947e-08
0.11,0.0180554,0.01905,5.77912e-08
0.11,0.0182594,0.01905,5.77912e-08
0.11,0.0184635,0.01905,5.77889e-08
0.11,0.0186675,0.01905,5.77889e-08
0.11,0.0188715,0.01905,5.7787e-08
0.11,0.0190755,0.01905,5.7787e-08
0.11,0.0192795,0.01905,5.77855e-08
0.11,0.0194835,0.01905,5.77855e-08
0.11,0.0196876,0.01905,5.77839e-08
0.11,0.0198916,0.01905,5.77839e-08
0.11,0.0200956,0.01905,5.77816e-08
0.11,0.0202996,0.01905,5.77789e-08
0.11,0.0205036,0.01905,5.77789e-08
0.11,0.0207076,0.01905,5.77762e-08
0.11,0.0209116,0.01905,5.77762e-08
0.11,0.0211157,0.01905,5.77737e-08
0.11,0.0213197,0.01905,5.77714e-08
0.11,0.0215237,0.01905,5.77714e-08
0.11,0.0217277,0.01905,5.77692e-08
0.11,0.0219317,0.01905,5.77674e-08
0.11,0.0221357,0.01905,5.77666e-08
0.11,0.0223398,0.01905,5.77666e-08
0.11,0.0225438,0.01905,5.77676e-08
0.11,0.0227478,0.01905,5.7772e-08
0.11,0.0229518,0.01905,5.77814e-08
0.11,0.0231558,0.01905,5.77981e-08
0.11,0.0233598,0.01905,5.78234e-08
0.11,0.0235639,0.01905,5.78571e-08
0.11,0.0237679,0.01905,5.7896e-08
0.11,0.0239719,0.01905,5.79335e-08
0.11,0.0241759,0.01905,5.79606e-08
0.11,0.0243799,0.01905,5.79697e-08
0.11,0.0245839,0.01905,5.79588e-08
0.11,0.024788,0.01905,5.79318e-08
0.11,0.024992,0.01905,5.78555e-08
0.11,0.025196,0.01905,5.78119e-08
0.11,0.0254,0.01905,5.77621e-08
