x,y,z,QdotMean
0.07,-0.0254,0.01905,0
0.07,-0.025196,0.01905,53.1307
0.07,-0.024992,0.01905,357.519
0.07,-0.024788,0.01905,1058.43
0.07,-0.0245839,0.01905,1957.02
0.07,-0.0243799,0.01905,2960.82
0.07,-0.0241759,0.01905,4181.73
0.07,-0.0239719,0.01905,5855.69
0.07,-0.0237679,0.01905,8230.62
0.07,-0.0235639,0.01905,11057.9
0.07,-0.0233598,0.01905,13918.8
0.07,-0.0231558,0.01905,16688.3
0.07,-0.0229518,0.01905,19281.8
0.07,-0.0227478,0.01905,21638
0.07,-0.0225438,0.01905,23567.9
0.07,-0.0223398,0.01905,25157.5
0.07,-0.0221357,0.01905,26573
0.07,-0.0219317,0.01905,28018.7
0.07,-0.0217277,0.01905,29891
0.07,-0.0215237,0.01905,32129.7
0.07,-0.0213197,0.01905,34945.8
0.07,-0.0211157,0.01905,38561.1
0.07,-0.0209116,0.01905,44908.7
0.07,-0.0207076,0.01905,53107.6
0.07,-0.0205036,0.01905,63069.7
0.07,-0.0202996,0.01905,75643
0.07,-0.0200956,0.01905,89913.8
0.07,-0.0198916,0.01905,105087
0.07,-0.0196876,0.01905,119506
0.07,-0.0194835,0.01905,135402
0.07,-0.0192795,0.01905,149934
0.07,-0.0190755,0.01905,162046
0.07,-0.0188715,0.01905,172662
0.07,-0.0186675,0.01905,185495
0.07,-0.0184635,0.01905,201973
0.07,-0.0182594,0.01905,234352
0.07,-0.0180554,0.01905,262418
0.07,-0.0178514,0.01905,286289
0.07,-0.0176474,0.01905,294342
0.07,-0.0174434,0.01905,308053
0.07,-0.0172394,0.01905,334778
0.07,-0.0170353,0.01905,374377
0.07,-0.0168313,0.01905,425739
0.07,-0.0166273,0.01905,521578
0.07,-0.0164233,0.01905,643644
0.07,-0.0162193,0.01905,784617
0.07,-0.0160153,0.01905,908328
0.07,-0.0158112,0.01905,1.01626e+06
0.07,-0.0156072,0.01905,1.09262e+06
0.07,-0.0154032,0.01905,1.16668e+06
0.07,-0.0151992,0.01905,1.24567e+06
0.07,-0.0149952,0.01905,1.33024e+06
0.07,-0.0147912,0.01905,1.42232e+06
0.07,-0.0145871,0.01905,1.50451e+06
0.07,-0.0143831,0.01905,1.61738e+06
0.07,-0.0141791,0.01905,1.76461e+06
0.07,-0.0139751,0.01905,1.9949e+06
0.07,-0.0137711,0.01905,2.2708e+06
0.07,-0.0135671,0.01905,2.62795e+06
0.07,-0.0133631,0.01905,2.99663e+06
0.07,-0.013159,0.01905,3.37044e+06
0.07,-0.012955,0.01905,3.7374e+06
0.07,-0.012751,0.01905,4.09154e+06
0.07,-0.012547,0.01905,4.47659e+06
0.07,-0.012343,0.01905,4.88313e+06
0.07,-0.012139,0.01905,5.41901e+06
0.07,-0.0119349,0.01905,6.02829e+06
0.07,-0.0117309,0.01905,6.7446e+06
0.07,-0.0115269,0.01905,7.50499e+06
0.07,-0.0113229,0.01905,8.33949e+06
0.07,-0.0111189,0.01905,9.19055e+06
0.07,-0.0109149,0.01905,1.01189e+07
0.07,-0.0107108,0.01905,1.10574e+07
0.07,-0.0105068,0.01905,1.20552e+07
0.07,-0.0103028,0.01905,1.30603e+07
0.07,-0.0100988,0.01905,1.41559e+07
0.07,-0.00989478,0.01905,1.52494e+07
0.07,-0.00969076,0.01905,1.65153e+07
0.07,-0.00948675,0.01905,1.77775e+07
0.07,-0.00928273,0.01905,1.92038e+07
0.07,-0.00907871,0.01905,2.06518e+07
0.07,-0.0088747,0.01905,2.21039e+07
0.07,-0.00867068,0.01905,2.35795e+07
0.07,-0.00846667,0.01905,2.51417e+07
0.07,-0.00826265,0.01905,2.67318e+07
0.07,-0.00805863,0.01905,2.87533e+07
0.07,-0.00785462,0.01905,3.09415e+07
0.07,-0.0076506,0.01905,3.33049e+07
0.07,-0.00744659,0.01905,3.57516e+07
0.07,-0.00724257,0.01905,3.82581e+07
0.07,-0.00703855,0.01905,4.08436e+07
0.07,-0.00683454,0.01905,4.34937e+07
0.07,-0.00663052,0.01905,4.64038e+07
0.07,-0.00642651,0.01905,4.93212e+07
0.07,-0.00622249,0.01905,5.24335e+07
0.07,-0.00601847,0.01905,5.55497e+07
0.07,-0.00581446,0.01905,5.76984e+07
0.07,-0.00561044,0.01905,5.96712e+07
0.07,-0.00540643,0.01905,6.10767e+07
0.07,-0.00520241,0.01905,6.21204e+07
0.07,-0.00499839,0.01905,6.32639e+07
0.07,-0.00479438,0.01905,6.45947e+07
0.07,-0.00459036,0.01905,6.61209e+07
0.07,-0.00438635,0.01905,6.77551e+07
0.07,-0.00418233,0.01905,6.93474e+07
0.07,-0.00397831,0.01905,7.07823e+07
0.07,-0.0037743,0.01905,7.19456e+07
0.07,-0.00357028,0.01905,7.28529e+07
0.07,-0.00336627,0.01905,7.35843e+07
0.07,-0.00316225,0.01905,7.38138e+07
0.07,-0.00295823,0.01905,7.32288e+07
0.07,-0.00275422,0.01905,7.22584e+07
0.07,-0.0025502,0.01905,7.12726e+07
0.07,-0.00234618,0.01905,7.01788e+07
0.07,-0.00214217,0.01905,6.89799e+07
0.07,-0.00193815,0.01905,6.76361e+07
0.07,-0.00173414,0.01905,6.60833e+07
0.07,-0.00153012,0.01905,6.42114e+07
0.07,-0.0013261,0.01905,6.2038e+07
0.07,-0.00112209,0.01905,5.94045e+07
0.07,-0.000918072,0.01905,5.62731e+07
0.07,-0.000714056,0.01905,5.34414e+07
0.07,-0.00051004,0.01905,5.08824e+07
0.07,-0.000306024,0.01905,4.79062e+07
0.07,-0.000102008,0.01905,4.42311e+07
0.07,0.000102008,0.01905,4.0575e+07
0.07,0.000306024,0.01905,3.74019e+07
0.07,0.00051004,0.01905,3.41434e+07
0.07,0.000714056,0.01905,3.12588e+07
0.07,0.000918072,0.01905,2.84789e+07
0.07,0.00112209,0.01905,2.56628e+07
0.07,0.0013261,0.01905,2.3033e+07
0.07,0.00153012,0.01905,2.06116e+07
0.07,0.00173414,0.01905,1.8353e+07
0.07,0.00193815,0.01905,1.63112e+07
0.07,0.00214217,0.01905,1.44797e+07
0.07,0.00234618,0.01905,1.28123e+07
0.07,0.0025502,0.01905,1.12961e+07
0.07,0.00275422,0.01905,9.88337e+06
0.07,0.00295823,0.01905,8.56336e+06
0.07,0.00316225,0.01905,7.39386e+06
0.07,0.00336627,0.01905,6.35747e+06
0.07,0.00357028,0.01905,5.39224e+06
0.07,0.0037743,0.01905,4.5618e+06
0.07,0.00397831,0.01905,3.85113e+06
0.07,0.00418233,0.01905,3.24244e+06
0.07,0.00438635,0.01905,2.72373e+06
0.07,0.00459036,0.01905,2.23056e+06
0.07,0.00479438,0.01905,1.80324e+06
0.07,0.00499839,0.01905,1.43258e+06
0.07,0.00520241,0.01905,1.14062e+06
0.07,0.00540643,0.01905,919065
0.07,0.00561044,0.01905,743580
0.07,0.00581446,0.01905,632840
0.07,0.00601847,0.01905,546415
0.07,0.00622249,0.01905,453676
0.07,0.00642651,0.01905,359380
0.07,0.00663052,0.01905,272101
0.07,0.00683454,0.01905,188491
0.07,0.00703855,0.01905,139753
0.07,0.00724257,0.01905,110259
0.07,0.00744659,0.01905,83619.7
0.07,0.0076506,0.01905,60085.1
0.07,0.00785462,0.01905,38300.5
0.07,0.00805863,0.01905,22676.6
0.07,0.00826265,0.01905,7052.7
0.07,0.00846667,0.01905,3332.95
0.07,0.00867068,0.01905,1372.8
0.07,0.0088747,0.01905,239.996
0.07,0.00907871,0.01905,131
0.07,0.00928273,0.01905,22.003
0.07,0.00948675,0.01905,9.31141
0.07,0.00969076,0.01905,4.02264
0.07,0.00989478,0.01905,0.354271
0.07,0.0100988,0.01905,0.207773
0.07,0.0103028,0.01905,0.0612763
0.07,0.0105068,0.01905,0.00261842
0.07,0.0107108,0.01905,0.00143859
0.07,0.0109149,0.01905,0.000258764
0.07,0.0111189,0.01905,1.08401e-05
0.07,0.0113229,0.01905,6.15124e-06
0.07,0.0115269,0.01905,1.4624e-06
0.07,0.0117309,0.01905,6.52272e-07
0.07,0.0119349,0.01905,3.96162e-07
0.07,0.012139,0.01905,1.40052e-07
0.07,0.012343,0.01905,8.97789e-08
0.07,0.012547,0.01905,7.6388e-08
0.07,0.012751,0.01905,6.2997e-08
0.07,0.012955,0.01905,5.88609e-08
0.07,0.013159,0.01905,5.84612e-08
0.07,0.0133631,0.01905,5.80614e-08
0.07,0.0135671,0.01905,5.78369e-08
0.07,0.0137711,0.01905,5.78197e-08
0.07,0.0139751,0.01905,5.78025e-08
0.07,0.0141791,0.01905,5.77864e-08
0.07,0.0143831,0.01905,5.77821e-08
