x,y,z,QdotMean
0.185,-0.0254,0.01905,4.96677e-14
0.185,-0.025196,0.01905,501.416
0.185,-0.024992,0.01905,3438.27
0.185,-0.024788,0.01905,10817.3
0.185,-0.0245839,0.01905,19540.4
0.185,-0.0243799,0.01905,27835.2
0.185,-0.0241759,0.01905,35255.9
0.185,-0.0239719,0.01905,41403.6
0.185,-0.0237679,0.01905,47317.8
0.185,-0.0235639,0.01905,51834.6
0.185,-0.0233598,0.01905,54173.9
0.185,-0.0231558,0.01905,54145.1
0.185,-0.0229518,0.01905,52643.6
0.185,-0.0227478,0.01905,51590.8
0.185,-0.0225438,0.01905,53389.7
0.185,-0.0223398,0.01905,59019.8
0.185,-0.0221357,0.01905,67436.9
0.185,-0.0219317,0.01905,81202.5
0.185,-0.0217277,0.01905,106646
0.185,-0.0215237,0.01905,150656
0.185,-0.0213197,0.01905,210418
0.185,-0.0211157,0.01905,274810
0.185,-0.0209116,0.01905,306603
0.185,-0.0207076,0.01905,304720
0.185,-0.0205036,0.01905,302377
0.185,-0.0202996,0.01905,302396
0.185,-0.0200956,0.01905,313247
0.185,-0.0198916,0.01905,345370
0.185,-0.0196876,0.01905,408546
0.185,-0.0194835,0.01905,477466
0.185,-0.0192795,0.01905,525603
0.185,-0.0190755,0.01905,544325
0.185,-0.0188715,0.01905,551210
0.185,-0.0186675,0.01905,557711
0.185,-0.0184635,0.01905,589208
0.185,-0.0182594,0.01905,622373
0.185,-0.0180554,0.01905,672625
0.185,-0.0178514,0.01905,738975
0.185,-0.0176474,0.01905,807756
0.185,-0.0174434,0.01905,866403
0.185,-0.0172394,0.01905,884600
0.185,-0.0170353,0.01905,903837
0.185,-0.0168313,0.01905,948168
0.185,-0.0166273,0.01905,1.02482e+06
0.185,-0.0164233,0.01905,1.12553e+06
0.185,-0.0162193,0.01905,1.23492e+06
0.185,-0.0160153,0.01905,1.40413e+06
0.185,-0.0158112,0.01905,1.5935e+06
0.185,-0.0156072,0.01905,1.80008e+06
0.185,-0.0154032,0.01905,1.92509e+06
0.185,-0.0151992,0.01905,2.01945e+06
0.185,-0.0149952,0.01905,2.12234e+06
0.185,-0.0147912,0.01905,2.28005e+06
0.185,-0.0145871,0.01905,2.50404e+06
0.185,-0.0143831,0.01905,2.72254e+06
0.185,-0.0141791,0.01905,2.94708e+06
0.185,-0.0139751,0.01905,3.16313e+06
0.185,-0.0137711,0.01905,3.30583e+06
0.185,-0.0135671,0.01905,3.44069e+06
0.185,-0.0133631,0.01905,3.7434e+06
0.185,-0.013159,0.01905,4.19855e+06
0.185,-0.012955,0.01905,4.84681e+06
0.185,-0.012751,0.01905,5.45568e+06
0.185,-0.012547,0.01905,5.98739e+06
0.185,-0.012343,0.01905,6.29245e+06
0.185,-0.012139,0.01905,6.5247e+06
0.185,-0.0119349,0.01905,6.64347e+06
0.185,-0.0117309,0.01905,6.88387e+06
0.185,-0.0115269,0.01905,7.24273e+06
0.185,-0.0113229,0.01905,7.74548e+06
0.185,-0.0111189,0.01905,8.31697e+06
0.185,-0.0109149,0.01905,8.8538e+06
0.185,-0.0107108,0.01905,9.43504e+06
0.185,-0.0105068,0.01905,1.02008e+07
0.185,-0.0103028,0.01905,1.1012e+07
0.185,-0.0100988,0.01905,1.18987e+07
0.185,-0.00989478,0.01905,1.29508e+07
0.185,-0.00969076,0.01905,1.41378e+07
0.185,-0.00948675,0.01905,1.55511e+07
0.185,-0.00928273,0.01905,1.70695e+07
0.185,-0.00907871,0.01905,1.84857e+07
0.185,-0.0088747,0.01905,1.99561e+07
0.185,-0.00867068,0.01905,2.1381e+07
0.185,-0.00846667,0.01905,2.27584e+07
0.185,-0.00826265,0.01905,2.39293e+07
0.185,-0.00805863,0.01905,2.50044e+07
0.185,-0.00785462,0.01905,2.62424e+07
0.185,-0.0076506,0.01905,2.77512e+07
