x,y,z,QdotMean
0.025,-0.0254,0.01905,0
0.025,-0.025196,0.01905,0.0419235
0.025,-0.024992,0.01905,0.452179
0.025,-0.024788,0.01905,1.9718
0.025,-0.0245839,0.01905,5.23432
0.025,-0.0243799,0.01905,10.6052
0.025,-0.0241759,0.01905,18.0126
0.025,-0.0239719,0.01905,26.7504
0.025,-0.0237679,0.01905,36.5799
0.025,-0.0235639,0.01905,46.9422
0.025,-0.0233598,0.01905,57.691
0.025,-0.0231558,0.01905,69.2227
0.025,-0.0229518,0.01905,82.2119
0.025,-0.0227478,0.01905,95.9681
0.025,-0.0225438,0.01905,110.823
0.025,-0.0223398,0.01905,127.49
0.025,-0.0221357,0.01905,145.752
0.025,-0.0219317,0.01905,164.372
0.025,-0.0217277,0.01905,183.76
0.025,-0.0215237,0.01905,204.645
0.025,-0.0213197,0.01905,225.563
0.025,-0.0211157,0.01905,246.878
0.025,-0.0209116,0.01905,268.807
0.025,-0.0207076,0.01905,291.132
0.025,-0.0205036,0.01905,312.5
0.025,-0.0202996,0.01905,333.462
0.025,-0.0200956,0.01905,354.422
0.025,-0.0198916,0.01905,374.6
0.025,-0.0196876,0.01905,394.608
0.025,-0.0194835,0.01905,415.71
0.025,-0.0192795,0.01905,437.007
0.025,-0.0190755,0.01905,459.054
0.025,-0.0188715,0.01905,483.996
0.025,-0.0186675,0.01905,509.316
0.025,-0.0184635,0.01905,535.981
0.025,-0.0182594,0.01905,566.22
0.025,-0.0180554,0.01905,596.728
0.025,-0.0178514,0.01905,630.167
0.025,-0.0176474,0.01905,663.388
0.025,-0.0174434,0.01905,696.926
0.025,-0.0172394,0.01905,733.296
0.025,-0.0170353,0.01905,769.11
0.025,-0.0168313,0.01905,806.395
0.025,-0.0166273,0.01905,844.714
0.025,-0.0164233,0.01905,883.11
0.025,-0.0162193,0.01905,924.096
0.025,-0.0160153,0.01905,963.872
0.025,-0.0158112,0.01905,1004.43
0.025,-0.0156072,0.01905,1045.49
0.025,-0.0154032,0.01905,1086.7
0.025,-0.0151992,0.01905,1130.64
0.025,-0.0149952,0.01905,1173.72
0.025,-0.0147912,0.01905,1218.57
0.025,-0.0145871,0.01905,1263.19
0.025,-0.0143831,0.01905,1309.77
0.025,-0.0141791,0.01905,1356.61
0.025,-0.0139751,0.01905,1404.78
0.025,-0.0137711,0.01905,1456.89
0.025,-0.0135671,0.01905,1508.92
0.025,-0.0133631,0.01905,1576.65
0.025,-0.013159,0.01905,1644.91
0.025,-0.012955,0.01905,1759.08
0.025,-0.012751,0.01905,1885.93
0.025,-0.012547,0.01905,2125.83
0.025,-0.012343,0.01905,2452.01
0.025,-0.012139,0.01905,3119.44
0.025,-0.0119349,0.01905,3825.15
0.025,-0.0117309,0.01905,4952.01
0.025,-0.0115269,0.01905,5989.57
0.025,-0.0113229,0.01905,7286.03
0.025,-0.0111189,0.01905,8636.19
0.025,-0.0109149,0.01905,10236.9
0.025,-0.0107108,0.01905,12072.4
0.025,-0.0105068,0.01905,14524.6
0.025,-0.0103028,0.01905,17834.1
0.025,-0.0100988,0.01905,23272.5
0.025,-0.00989478,0.01905,32436.3
0.025,-0.00969076,0.01905,51407.7
0.025,-0.00948675,0.01905,71089.7
0.025,-0.00928273,0.01905,110329
0.025,-0.00907871,0.01905,142717
0.025,-0.0088747,0.01905,175007
0.025,-0.00867068,0.01905,209733
0.025,-0.00846667,0.01905,237844
0.025,-0.00826265,0.01905,267700
0.025,-0.00805863,0.01905,317333
0.025,-0.00785462,0.01905,366284
0.025,-0.0076506,0.01905,445307
0.025,-0.00744659,0.01905,538874
0.025,-0.00724257,0.01905,658895
0.025,-0.00703855,0.01905,822163
0.025,-0.00683454,0.01905,1.00958e+06
0.025,-0.00663052,0.01905,1.30673e+06
0.025,-0.00642651,0.01905,1.59476e+06
0.025,-0.00622249,0.01905,2.13027e+06
0.025,-0.00601847,0.01905,2.64225e+06
0.025,-0.00581446,0.01905,3.43337e+06
0.025,-0.00561044,0.01905,4.32287e+06
0.025,-0.00540643,0.01905,5.35874e+06
0.025,-0.00520241,0.01905,6.72107e+06
0.025,-0.00499839,0.01905,8.01269e+06
0.025,-0.00479438,0.01905,9.55687e+06
0.025,-0.00459036,0.01905,1.10607e+07
0.025,-0.00438635,0.01905,1.36976e+07
0.025,-0.00418233,0.01905,1.65478e+07
0.025,-0.00397831,0.01905,1.95639e+07
0.025,-0.0037743,0.01905,2.28466e+07
0.025,-0.00357028,0.01905,2.6273e+07
0.025,-0.00336627,0.01905,2.96627e+07
0.025,-0.00316225,0.01905,3.31034e+07
0.025,-0.00295823,0.01905,3.6413e+07
0.025,-0.00275422,0.01905,3.89579e+07
0.025,-0.0025502,0.01905,4.04711e+07
0.025,-0.00234618,0.01905,4.12132e+07
0.025,-0.00214217,0.01905,4.10023e+07
0.025,-0.00193815,0.01905,3.98467e+07
0.025,-0.00173414,0.01905,3.77091e+07
0.025,-0.00153012,0.01905,3.43875e+07
0.025,-0.0013261,0.01905,3.00364e+07
0.025,-0.00112209,0.01905,2.4756e+07
0.025,-0.000918072,0.01905,1.92824e+07
0.025,-0.000714056,0.01905,1.4087e+07
0.025,-0.00051004,0.01905,9.79263e+06
0.025,-0.000306024,0.01905,6.41215e+06
0.025,-0.000102008,0.01905,3.87972e+06
0.025,0.000102008,0.01905,2.18909e+06
0.025,0.000306024,0.01905,1.21421e+06
0.025,0.00051004,0.01905,681579
0.025,0.000714056,0.01905,384555
0.025,0.000918072,0.01905,213177
0.025,0.00112209,0.01905,109586
0.025,0.0013261,0.01905,51974.5
0.025,0.00153012,0.01905,23072.2
0.025,0.00173414,0.01905,9865.2
0.025,0.00193815,0.01905,4043.29
0.025,0.00214217,0.01905,1539.39
0.025,0.00234618,0.01905,509.238
0.025,0.0025502,0.01905,139.131
0.025,0.00275422,0.01905,26.5819
0.025,0.00295823,0.01905,9.47274
0.025,0.00316225,0.01905,0.633314
0.025,0.00336627,0.01905,0.215097
0.025,0.00357028,0.01905,0.0182002
0.025,0.0037743,0.01905,0.00688197
0.025,0.00397831,0.01905,0.00142305
0.025,0.00418233,0.01905,0.00052763
0.025,0.00438635,0.01905,0.000101197
0.025,0.00459036,0.01905,3.37164e-05
0.025,0.00479438,0.01905,3.76043e-06
0.025,0.00499839,0.01905,1.42865e-06
0.025,0.00520241,0.01905,1.31758e-07
0.025,0.00540643,0.01905,8.90141e-08
0.025,0.00561044,0.01905,5.91997e-08
0.025,0.00581446,0.01905,5.843e-08
0.025,0.00601847,0.01905,5.79473e-08
0.025,0.00622249,0.01905,5.78766e-08
0.025,0.00642651,0.01905,5.78531e-08
0.025,0.00663052,0.01905,5.78388e-08
0.025,0.00683454,0.01905,5.78304e-08
0.025,0.00703855,0.01905,5.78224e-08
0.025,0.00724257,0.01905,5.7816e-08
0.025,0.00744659,0.01905,5.78098e-08
0.025,0.0076506,0.01905,5.78042e-08
0.025,0.00785462,0.01905,5.77991e-08
0.025,0.00805863,0.01905,5.77941e-08
0.025,0.00826265,0.01905,5.779e-08
0.025,0.00846667,0.01905,5.77862e-08
0.025,0.00867068,0.01905,5.77824e-08
0.025,0.0088747,0.01905,5.77794e-08
0.025,0.00907871,0.01905,5.77763e-08
0.025,0.00928273,0.01905,5.77734e-08
0.025,0.00948675,0.01905,5.77708e-08
0.025,0.00969076,0.01905,5.77682e-08
0.025,0.00989478,0.01905,5.77658e-08
0.025,0.0100988,0.01905,5.77639e-08
0.025,0.0103028,0.01905,5.77621e-08
0.025,0.0105068,0.01905,5.77603e-08
0.025,0.0107108,0.01905,5.7759e-08
0.025,0.0109149,0.01905,5.77577e-08
0.025,0.0111189,0.01905,5.77564e-08
0.025,0.0113229,0.01905,5.77555e-08
0.025,0.0115269,0.01905,5.77547e-08
0.025,0.0117309,0.01905,5.77538e-08
0.025,0.0119349,0.01905,5.77532e-08
0.025,0.012139,0.01905,5.77528e-08
0.025,0.012343,0.01905,5.77523e-08
0.025,0.012547,0.01905,5.77518e-08
0.025,0.012751,0.01905,5.77513e-08
0.025,0.012955,0.01905,5.77508e-08
0.025,0.013159,0.01905,5.77502e-08
0.025,0.0133631,0.01905,5.77496e-08
0.025,0.0135671,0.01905,5.77488e-08
0.025,0.0137711,0.01905,5.77481e-08
0.025,0.0139751,0.01905,5.77474e-08
0.025,0.0141791,0.01905,5.77467e-08
0.025,0.0143831,0.01905,5.7746e-08
0.025,0.0145871,0.01905,5.77455e-08
0.025,0.0147912,0.01905,5.77451e-08
0.025,0.0149952,0.01905,5.77447e-08
0.025,0.0151992,0.01905,5.77445e-08
0.025,0.0154032,0.01905,5.77444e-08
0.025,0.0156072,0.01905,5.77443e-08
0.025,0.0158112,0.01905,5.77441e-08
0.025,0.0160153,0.01905,5.77438e-08
0.025,0.0162193,0.01905,5.77435e-08
0.025,0.0164233,0.01905,5.77431e-08
0.025,0.0166273,0.01905,5.77428e-08
0.025,0.0168313,0.01905,5.77426e-08
0.025,0.0170353,0.01905,5.77424e-08
0.025,0.0172394,0.01905,5.77422e-08
0.025,0.0174434,0.01905,5.77418e-08
0.025,0.0176474,0.01905,5.77413e-08
0.025,0.0178514,0.01905,5.77407e-08
0.025,0.0180554,0.01905,5.77401e-08
0.025,0.0182594,0.01905,5.77396e-08
0.025,0.0184635,0.01905,5.77392e-08
0.025,0.0186675,0.01905,5.77389e-08
0.025,0.0188715,0.01905,5.77388e-08
0.025,0.0190755,0.01905,5.77387e-08
0.025,0.0192795,0.01905,5.77385e-08
0.025,0.0194835,0.01905,5.77382e-08
0.025,0.0196876,0.01905,5.77377e-08
0.025,0.0198916,0.01905,5.77371e-08
0.025,0.0200956,0.01905,5.77366e-08
0.025,0.0202996,0.01905,5.77361e-08
0.025,0.0205036,0.01905,5.77357e-08
0.025,0.0207076,0.01905,5.77351e-08
0.025,0.0209116,0.01905,5.77345e-08
0.025,0.0211157,0.01905,5.77335e-08
0.025,0.0213197,0.01905,5.77324e-08
0.025,0.0215237,0.01905,5.77311e-08
0.025,0.0217277,0.01905,5.77296e-08
0.025,0.0219317,0.01905,5.77281e-08
0.025,0.0221357,0.01905,5.77267e-08
0.025,0.0223398,0.01905,5.77252e-08
0.025,0.0225438,0.01905,5.77236e-08
0.025,0.0227478,0.01905,5.77219e-08
0.025,0.0229518,0.01905,5.77201e-08
0.025,0.0231558,0.01905,5.77187e-08
0.025,0.0233598,0.01905,5.77178e-08
0.025,0.0235639,0.01905,5.77186e-08
0.025,0.0237679,0.01905,5.77233e-08
0.025,0.0239719,0.01905,5.77364e-08
0.025,0.0241759,0.01905,5.77646e-08
0.025,0.0243799,0.01905,5.7814e-08
0.025,0.0245839,0.01905,5.7879e-08
0.025,0.024788,0.01905,5.79279e-08
0.025,0.024992,0.01905,5.79176e-08
0.025,0.025196,0.01905,5.78419e-08
0.025,0.0254,0.01905,-1.25187e-21
