x,y,z,QdotMean
0.105,-0.0254,0.01905,4.18174e-13
0.105,-0.025196,0.01905,3583.53
0.105,-0.024992,0.01905,20454
0.105,-0.024788,0.01905,57488.4
0.105,-0.0245839,0.01905,103654
0.105,-0.0243799,0.01905,141479
0.105,-0.0241759,0.01905,160169
0.105,-0.0239719,0.01905,161438
0.105,-0.0237679,0.01905,156565
0.105,-0.0235639,0.01905,157288
0.105,-0.0233598,0.01905,161727
0.105,-0.0231558,0.01905,166838
0.105,-0.0229518,0.01905,173261
0.105,-0.0227478,0.01905,182737
0.105,-0.0225438,0.01905,196702
0.105,-0.0223398,0.01905,214218
0.105,-0.0221357,0.01905,234028
0.105,-0.0219317,0.01905,259740
0.105,-0.0217277,0.01905,292643
0.105,-0.0215237,0.01905,333996
0.105,-0.0213197,0.01905,383701
0.105,-0.0211157,0.01905,447597
0.105,-0.0209116,0.01905,520793
0.105,-0.0207076,0.01905,600792
0.105,-0.0205036,0.01905,670043
0.105,-0.0202996,0.01905,721297
0.105,-0.0200956,0.01905,772749
0.105,-0.0198916,0.01905,828443
0.105,-0.0196876,0.01905,878248
0.105,-0.0194835,0.01905,911156
0.105,-0.0192795,0.01905,933211
0.105,-0.0190755,0.01905,949819
0.105,-0.0188715,0.01905,985939
0.105,-0.0186675,0.01905,1.04254e+06
0.105,-0.0184635,0.01905,1.13118e+06
0.105,-0.0182594,0.01905,1.24203e+06
0.105,-0.0180554,0.01905,1.35694e+06
0.105,-0.0178514,0.01905,1.46808e+06
0.105,-0.0176474,0.01905,1.5848e+06
0.105,-0.0174434,0.01905,1.70865e+06
0.105,-0.0172394,0.01905,1.8438e+06
0.105,-0.0170353,0.01905,2.01676e+06
0.105,-0.0168313,0.01905,2.22654e+06
0.105,-0.0166273,0.01905,2.51985e+06
0.105,-0.0164233,0.01905,2.91673e+06
0.105,-0.0162193,0.01905,3.35472e+06
0.105,-0.0160153,0.01905,3.68522e+06
0.105,-0.0158112,0.01905,3.94092e+06
0.105,-0.0156072,0.01905,4.10916e+06
0.105,-0.0154032,0.01905,4.40435e+06
0.105,-0.0151992,0.01905,4.73329e+06
0.105,-0.0149952,0.01905,5.09907e+06
0.105,-0.0147912,0.01905,5.46598e+06
0.105,-0.0145871,0.01905,5.82291e+06
0.105,-0.0143831,0.01905,6.3172e+06
0.105,-0.0141791,0.01905,6.85234e+06
0.105,-0.0139751,0.01905,7.50751e+06
0.105,-0.0137711,0.01905,8.11308e+06
0.105,-0.0135671,0.01905,8.6306e+06
0.105,-0.0133631,0.01905,9.15134e+06
0.105,-0.013159,0.01905,9.66358e+06
0.105,-0.012955,0.01905,1.05468e+07
0.105,-0.012751,0.01905,1.1506e+07
0.105,-0.012547,0.01905,1.25935e+07
0.105,-0.012343,0.01905,1.36642e+07
0.105,-0.012139,0.01905,1.46898e+07
0.105,-0.0119349,0.01905,1.56969e+07
0.105,-0.0117309,0.01905,1.67022e+07
0.105,-0.0115269,0.01905,1.77233e+07
0.105,-0.0113229,0.01905,1.87543e+07
0.105,-0.0111189,0.01905,2.00038e+07
0.105,-0.0109149,0.01905,2.13619e+07
0.105,-0.0107108,0.01905,2.25878e+07
0.105,-0.0105068,0.01905,2.37808e+07
0.105,-0.0103028,0.01905,2.47735e+07
0.105,-0.0100988,0.01905,2.5734e+07
0.105,-0.00989478,0.01905,2.70685e+07
0.105,-0.00969076,0.01905,2.84423e+07
0.105,-0.00948675,0.01905,2.98618e+07
0.105,-0.00928273,0.01905,3.12929e+07
0.105,-0.00907871,0.01905,3.259e+07
0.105,-0.0088747,0.01905,3.38856e+07
0.105,-0.00867068,0.01905,3.55672e+07
0.105,-0.00846667,0.01905,3.7249e+07
0.105,-0.00826265,0.01905,3.9304e+07
0.105,-0.00805863,0.01905,4.13798e+07
0.105,-0.00785462,0.01905,4.35807e+07
0.105,-0.0076506,0.01905,4.58132e+07
0.105,-0.00744659,0.01905,4.82523e+07
0.105,-0.00724257,0.01905,5.07781e+07
0.105,-0.00703855,0.01905,5.30335e+07
0.105,-0.00683454,0.01905,5.51868e+07
0.105,-0.00663052,0.01905,5.6593e+07
0.105,-0.00642651,0.01905,5.72901e+07
0.105,-0.00622249,0.01905,5.80302e+07
0.105,-0.00601847,0.01905,5.87765e+07
0.105,-0.00581446,0.01905,6.05248e+07
0.105,-0.00561044,0.01905,6.23042e+07
0.105,-0.00540643,0.01905,6.39247e+07
0.105,-0.00520241,0.01905,6.49515e+07
0.105,-0.00499839,0.01905,6.56894e+07
0.105,-0.00479438,0.01905,6.6527e+07
0.105,-0.00459036,0.01905,6.74851e+07
0.105,-0.00438635,0.01905,6.84292e+07
0.105,-0.00418233,0.01905,6.90415e+07
0.105,-0.00397831,0.01905,6.92066e+07
0.105,-0.0037743,0.01905,6.9279e+07
0.105,-0.00357028,0.01905,6.93191e+07
0.105,-0.00336627,0.01905,6.9143e+07
0.105,-0.00316225,0.01905,6.87538e+07
0.105,-0.00295823,0.01905,6.85436e+07
0.105,-0.00275422,0.01905,6.85384e+07
0.105,-0.0025502,0.01905,6.84396e+07
0.105,-0.00234618,0.01905,6.81861e+07
0.105,-0.00214217,0.01905,6.75138e+07
0.105,-0.00193815,0.01905,6.64101e+07
0.105,-0.00173414,0.01905,6.4937e+07
0.105,-0.00153012,0.01905,6.31094e+07
0.105,-0.0013261,0.01905,6.08979e+07
0.105,-0.00112209,0.01905,5.87433e+07
0.105,-0.000918072,0.01905,5.64891e+07
0.105,-0.000714056,0.01905,5.40117e+07
0.105,-0.00051004,0.01905,5.20803e+07
0.105,-0.000306024,0.01905,5.02802e+07
0.105,-0.000102008,0.01905,4.81468e+07
0.105,0.000102008,0.01905,4.66306e+07
0.105,0.000306024,0.01905,4.52005e+07
0.105,0.00051004,0.01905,4.28642e+07
0.105,0.000714056,0.01905,4.05995e+07
0.105,0.000918072,0.01905,3.84264e+07
0.105,0.00112209,0.01905,3.65586e+07
0.105,0.0013261,0.01905,3.47071e+07
0.105,0.00153012,0.01905,3.28647e+07
0.105,0.00173414,0.01905,3.08495e+07
0.105,0.00193815,0.01905,2.88064e+07
0.105,0.00214217,0.01905,2.67176e+07
0.105,0.00234618,0.01905,2.47649e+07
0.105,0.0025502,0.01905,2.28616e+07
0.105,0.00275422,0.01905,2.11271e+07
0.105,0.00295823,0.01905,1.94182e+07
0.105,0.00316225,0.01905,1.77879e+07
0.105,0.00336627,0.01905,1.62756e+07
0.105,0.00357028,0.01905,1.49244e+07
0.105,0.0037743,0.01905,1.37636e+07
0.105,0.00397831,0.01905,1.2766e+07
0.105,0.00418233,0.01905,1.1754e+07
0.105,0.00438635,0.01905,1.07368e+07
0.105,0.00459036,0.01905,9.69282e+06
0.105,0.00479438,0.01905,8.63153e+06
0.105,0.00499839,0.01905,7.73388e+06
0.105,0.00520241,0.01905,6.96021e+06
0.105,0.00540643,0.01905,6.19186e+06
0.105,0.00561044,0.01905,5.42673e+06
0.105,0.00581446,0.01905,4.74097e+06
0.105,0.00601847,0.01905,4.09109e+06
0.105,0.00622249,0.01905,3.57387e+06
0.105,0.00642651,0.01905,3.11781e+06
0.105,0.00663052,0.01905,2.75324e+06
0.105,0.00683454,0.01905,2.44256e+06
0.105,0.00703855,0.01905,2.16822e+06
0.105,0.00724257,0.01905,1.94965e+06
0.105,0.00744659,0.01905,1.75504e+06
0.105,0.0076506,0.01905,1.58796e+06
0.105,0.00785462,0.01905,1.43039e+06
0.105,0.00805863,0.01905,1.28966e+06
0.105,0.00826265,0.01905,1.15307e+06
0.105,0.00846667,0.01905,1.0185e+06
0.105,0.00867068,0.01905,884737
0.105,0.0088747,0.01905,736496
0.105,0.00907871,0.01905,573227
0.105,0.00928273,0.01905,422511
0.105,0.00948675,0.01905,320284
0.105,0.00969076,0.01905,218057
0.105,0.00989478,0.01905,162650
0.105,0.0100988,0.01905,114155
0.105,0.0103028,0.01905,73402.3
0.105,0.0105068,0.01905,42170.5
0.105,0.0107108,0.01905,10938.7
0.105,0.0109149,0.01905,5714.45
0.105,0.0111189,0.01905,2454.9
0.105,0.0113229,0.01905,226.697
0.105,0.0115269,0.01905,132.286
0.105,0.0117309,0.01905,37.8748
0.105,0.0119349,0.01905,1.66406
0.105,0.012139,0.01905,0.922084
0.105,0.012343,0.01905,0.180107
0.105,0.012547,0.01905,0.0309904
0.105,0.012751,0.01905,0.0171784
0.105,0.012955,0.01905,0.00336641
0.105,0.013159,0.01905,0.00140974
0.105,0.0133631,0.01905,0.000771833
0.105,0.0135671,0.01905,0.000133929
0.105,0.0137711,0.01905,4.22093e-05
0.105,0.0139751,0.01905,2.37665e-05
0.105,0.0141791,0.01905,5.32365e-06
0.105,0.0143831,0.01905,5.98278e-07
0.105,0.0145871,0.01905,3.85609e-07
0.105,0.0147912,0.01905,1.72939e-07
0.105,0.0149952,0.01905,6.6042e-08
0.105,0.0151992,0.01905,6.26259e-08
0.105,0.0154032,0.01905,5.92097e-08
0.105,0.0156072,0.01905,5.8322e-08
0.105,0.0158112,0.01905,5.80784e-08
0.105,0.0160153,0.01905,5.78774e-08
0.105,0.0162193,0.01905,5.78501e-08
0.105,0.0164233,0.01905,5.78229e-08
0.105,0.0166273,0.01905,5.78104e-08
0.105,0.0168313,0.01905,5.78043e-08
0.105,0.0170353,0.01905,5.77992e-08
0.105,0.0172394,0.01905,5.77963e-08
0.105,0.0174434,0.01905,5.77935e-08
0.105,0.0176474,0.01905,5.77916e-08
0.105,0.0178514,0.01905,5.77898e-08
0.105,0.0180554,0.01905,5.7788e-08
0.105,0.0182594,0.01905,5.77864e-08
0.105,0.0184635,0.01905,5.77848e-08
0.105,0.0186675,0.01905,5.77834e-08
0.105,0.0188715,0.01905,5.7782e-08
