x,y,z,QdotMean
0.15,-0.0254,0.01905,-3.32395e-11
0.15,-0.025196,0.01905,2220.05
0.15,-0.024992,0.01905,11320.3
0.15,-0.024788,0.01905,27261.1
0.15,-0.0245839,0.01905,45073.2
0.15,-0.0243799,0.01905,62137.8
0.15,-0.0241759,0.01905,80996.3
0.15,-0.0239719,0.01905,109076
0.15,-0.0237679,0.01905,138931
0.15,-0.0235639,0.01905,158101
0.15,-0.0233598,0.01905,163837
0.15,-0.0231558,0.01905,162847
0.15,-0.0229518,0.01905,158389
0.15,-0.0227478,0.01905,154281
0.15,-0.0225438,0.01905,151384
0.15,-0.0223398,0.01905,150909
0.15,-0.0221357,0.01905,156211
0.15,-0.0219317,0.01905,169613
0.15,-0.0217277,0.01905,192739
0.15,-0.0215237,0.01905,232288
0.15,-0.0213197,0.01905,301604
0.15,-0.0211157,0.01905,391783
0.15,-0.0209116,0.01905,492579
0.15,-0.0207076,0.01905,603608
0.15,-0.0205036,0.01905,657136
0.15,-0.0202996,0.01905,696634
0.15,-0.0200956,0.01905,740214
0.15,-0.0198916,0.01905,794422
0.15,-0.0196876,0.01905,804381
0.15,-0.0194835,0.01905,801126
0.15,-0.0192795,0.01905,799499
0.15,-0.0190755,0.01905,824391
0.15,-0.0188715,0.01905,865359
0.15,-0.0186675,0.01905,931744
0.15,-0.0184635,0.01905,1.01948e+06
0.15,-0.0182594,0.01905,1.1257e+06
0.15,-0.0180554,0.01905,1.22569e+06
0.15,-0.0178514,0.01905,1.32333e+06
0.15,-0.0176474,0.01905,1.42518e+06
0.15,-0.0174434,0.01905,1.52339e+06
0.15,-0.0172394,0.01905,1.63712e+06
0.15,-0.0170353,0.01905,1.78022e+06
0.15,-0.0168313,0.01905,1.94521e+06
0.15,-0.0166273,0.01905,2.11239e+06
0.15,-0.0164233,0.01905,2.26392e+06
0.15,-0.0162193,0.01905,2.4317e+06
0.15,-0.0160153,0.01905,2.56913e+06
0.15,-0.0158112,0.01905,2.64746e+06
0.15,-0.0156072,0.01905,2.76533e+06
0.15,-0.0154032,0.01905,2.92677e+06
0.15,-0.0151992,0.01905,3.32432e+06
0.15,-0.0149952,0.01905,3.66351e+06
0.15,-0.0147912,0.01905,3.96733e+06
0.15,-0.0145871,0.01905,4.16094e+06
0.15,-0.0143831,0.01905,4.35316e+06
0.15,-0.0141791,0.01905,4.58031e+06
0.15,-0.0139751,0.01905,4.87443e+06
0.15,-0.0137711,0.01905,5.22106e+06
0.15,-0.0135671,0.01905,5.84785e+06
0.15,-0.0133631,0.01905,6.53914e+06
0.15,-0.013159,0.01905,7.27988e+06
0.15,-0.012955,0.01905,7.89961e+06
0.15,-0.012751,0.01905,8.37764e+06
0.15,-0.012547,0.01905,8.93578e+06
0.15,-0.012343,0.01905,9.54714e+06
0.15,-0.012139,0.01905,1.0619e+07
0.15,-0.0119349,0.01905,1.1693e+07
0.15,-0.0117309,0.01905,1.27115e+07
0.15,-0.0115269,0.01905,1.36745e+07
0.15,-0.0113229,0.01905,1.45934e+07
0.15,-0.0111189,0.01905,1.55209e+07
0.15,-0.0109149,0.01905,1.64675e+07
0.15,-0.0107108,0.01905,1.74182e+07
0.15,-0.0105068,0.01905,1.83377e+07
0.15,-0.0103028,0.01905,1.94074e+07
0.15,-0.0100988,0.01905,2.04696e+07
0.15,-0.00989478,0.01905,2.1571e+07
0.15,-0.00969076,0.01905,2.26876e+07
0.15,-0.00948675,0.01905,2.39854e+07
0.15,-0.00928273,0.01905,2.53197e+07
0.15,-0.00907871,0.01905,2.69021e+07
0.15,-0.0088747,0.01905,2.84966e+07
0.15,-0.00867068,0.01905,3.00863e+07
0.15,-0.00846667,0.01905,3.17262e+07
0.15,-0.00826265,0.01905,3.34509e+07
0.15,-0.00805863,0.01905,3.53452e+07
0.15,-0.00785462,0.01905,3.78296e+07
0.15,-0.0076506,0.01905,4.01896e+07
0.15,-0.00744659,0.01905,4.21803e+07
0.15,-0.00724257,0.01905,4.40341e+07
0.15,-0.00703855,0.01905,4.52161e+07
0.15,-0.00683454,0.01905,4.6354e+07
0.15,-0.00663052,0.01905,4.742e+07
0.15,-0.00642651,0.01905,4.88461e+07
0.15,-0.00622249,0.01905,5.05893e+07
0.15,-0.00601847,0.01905,5.2992e+07
0.15,-0.00581446,0.01905,5.53251e+07
0.15,-0.00561044,0.01905,5.7154e+07
0.15,-0.00540643,0.01905,5.77368e+07
0.15,-0.00520241,0.01905,5.76416e+07
0.15,-0.00499839,0.01905,5.78697e+07
0.15,-0.00479438,0.01905,5.87863e+07
0.15,-0.00459036,0.01905,6.05406e+07
0.15,-0.00438635,0.01905,6.16315e+07
0.15,-0.00418233,0.01905,6.20637e+07
0.15,-0.00397831,0.01905,6.20346e+07
0.15,-0.0037743,0.01905,6.30622e+07
0.15,-0.00357028,0.01905,6.43026e+07
0.15,-0.00336627,0.01905,6.51896e+07
0.15,-0.00316225,0.01905,6.56555e+07
0.15,-0.00295823,0.01905,6.60235e+07
0.15,-0.00275422,0.01905,6.6569e+07
0.15,-0.0025502,0.01905,6.68812e+07
0.15,-0.00234618,0.01905,6.64659e+07
0.15,-0.00214217,0.01905,6.54804e+07
0.15,-0.00193815,0.01905,6.45043e+07
0.15,-0.00173414,0.01905,6.34273e+07
0.15,-0.00153012,0.01905,6.19505e+07
0.15,-0.0013261,0.01905,6.039e+07
