x,y,z,QdotMean
0.085,-0.0254,0.01905,0
0.085,-0.025196,0.01905,406.155
0.085,-0.024992,0.01905,2303.72
0.085,-0.024788,0.01905,5729.91
0.085,-0.0245839,0.01905,10076.7
0.085,-0.0243799,0.01905,14947.2
0.085,-0.0241759,0.01905,20114
0.085,-0.0239719,0.01905,25387.6
0.085,-0.0237679,0.01905,30651.4
0.085,-0.0235639,0.01905,36134.7
0.085,-0.0233598,0.01905,40927.6
0.085,-0.0231558,0.01905,44626.1
0.085,-0.0229518,0.01905,46945.9
0.085,-0.0227478,0.01905,47846.4
0.085,-0.0225438,0.01905,47332.4
0.085,-0.0223398,0.01905,47244.3
0.085,-0.0221357,0.01905,47807.5
0.085,-0.0219317,0.01905,48909.8
0.085,-0.0217277,0.01905,50442.1
0.085,-0.0215237,0.01905,52491.9
0.085,-0.0213197,0.01905,55154.2
0.085,-0.0211157,0.01905,58259.5
0.085,-0.0209116,0.01905,61746.3
0.085,-0.0207076,0.01905,65690.8
0.085,-0.0205036,0.01905,70646.5
0.085,-0.0202996,0.01905,77059.9
0.085,-0.0200956,0.01905,86613.2
0.085,-0.0198916,0.01905,104197
0.085,-0.0196876,0.01905,135895
0.085,-0.0194835,0.01905,183828
0.085,-0.0192795,0.01905,283844
0.085,-0.0190755,0.01905,362382
0.085,-0.0188715,0.01905,440381
0.085,-0.0186675,0.01905,501324
0.085,-0.0184635,0.01905,579224
0.085,-0.0182594,0.01905,660403
0.085,-0.0180554,0.01905,732331
0.085,-0.0178514,0.01905,823820
0.085,-0.0176474,0.01905,911982
0.085,-0.0174434,0.01905,986174
0.085,-0.0172394,0.01905,1.05794e+06
0.085,-0.0170353,0.01905,1.13602e+06
0.085,-0.0168313,0.01905,1.24911e+06
0.085,-0.0166273,0.01905,1.36903e+06
0.085,-0.0164233,0.01905,1.51993e+06
0.085,-0.0162193,0.01905,1.72069e+06
0.085,-0.0160153,0.01905,1.94392e+06
0.085,-0.0158112,0.01905,2.16076e+06
0.085,-0.0156072,0.01905,2.35883e+06
0.085,-0.0154032,0.01905,2.48706e+06
0.085,-0.0151992,0.01905,2.72878e+06
0.085,-0.0149952,0.01905,2.98492e+06
0.085,-0.0147912,0.01905,3.52503e+06
0.085,-0.0145871,0.01905,4.01661e+06
0.085,-0.0143831,0.01905,4.48343e+06
0.085,-0.0141791,0.01905,4.80114e+06
0.085,-0.0139751,0.01905,5.00676e+06
0.085,-0.0137711,0.01905,5.35867e+06
0.085,-0.0135671,0.01905,5.71037e+06
0.085,-0.0133631,0.01905,6.23909e+06
0.085,-0.013159,0.01905,6.73675e+06
0.085,-0.012955,0.01905,7.25836e+06
0.085,-0.012751,0.01905,7.83258e+06
0.085,-0.012547,0.01905,8.5009e+06
0.085,-0.012343,0.01905,9.2586e+06
0.085,-0.012139,0.01905,1.00711e+07
0.085,-0.0119349,0.01905,1.08288e+07
0.085,-0.0117309,0.01905,1.15729e+07
0.085,-0.0115269,0.01905,1.23177e+07
0.085,-0.0113229,0.01905,1.3074e+07
0.085,-0.0111189,0.01905,1.38791e+07
0.085,-0.0109149,0.01905,1.47085e+07
0.085,-0.0107108,0.01905,1.57921e+07
0.085,-0.0105068,0.01905,1.68771e+07
0.085,-0.0103028,0.01905,1.83352e+07
0.085,-0.0100988,0.01905,1.98022e+07
0.085,-0.00989478,0.01905,2.1386e+07
0.085,-0.00969076,0.01905,2.30052e+07
0.085,-0.00948675,0.01905,2.45776e+07
0.085,-0.00928273,0.01905,2.6177e+07
0.085,-0.00907871,0.01905,2.80052e+07
0.085,-0.0088747,0.01905,2.98633e+07
0.085,-0.00867068,0.01905,3.20527e+07
0.085,-0.00846667,0.01905,3.43049e+07
0.085,-0.00826265,0.01905,3.66978e+07
0.085,-0.00805863,0.01905,3.91126e+07
0.085,-0.00785462,0.01905,4.16399e+07
0.085,-0.0076506,0.01905,4.41819e+07
0.085,-0.00744659,0.01905,4.6624e+07
0.085,-0.00724257,0.01905,4.90744e+07
0.085,-0.00703855,0.01905,5.1275e+07
0.085,-0.00683454,0.01905,5.33757e+07
0.085,-0.00663052,0.01905,5.55095e+07
0.085,-0.00642651,0.01905,5.76256e+07
0.085,-0.00622249,0.01905,5.93607e+07
0.085,-0.00601847,0.01905,6.05772e+07
0.085,-0.00581446,0.01905,6.16419e+07
0.085,-0.00561044,0.01905,6.23477e+07
0.085,-0.00540643,0.01905,6.34796e+07
0.085,-0.00520241,0.01905,6.47726e+07
0.085,-0.00499839,0.01905,6.62315e+07
0.085,-0.00479438,0.01905,6.78075e+07
0.085,-0.00459036,0.01905,6.9261e+07
0.085,-0.00438635,0.01905,7.04425e+07
0.085,-0.00418233,0.01905,7.13832e+07
0.085,-0.00397831,0.01905,7.21616e+07
0.085,-0.0037743,0.01905,7.27176e+07
0.085,-0.00357028,0.01905,7.30001e+07
0.085,-0.00336627,0.01905,7.29722e+07
0.085,-0.00316225,0.01905,7.27634e+07
0.085,-0.00295823,0.01905,7.2668e+07
0.085,-0.00275422,0.01905,7.24504e+07
0.085,-0.0025502,0.01905,7.18051e+07
0.085,-0.00234618,0.01905,7.10595e+07
0.085,-0.00214217,0.01905,7.00778e+07
0.085,-0.00193815,0.01905,6.87147e+07
0.085,-0.00173414,0.01905,6.74036e+07
0.085,-0.00153012,0.01905,6.61656e+07
0.085,-0.0013261,0.01905,6.42324e+07
0.085,-0.00112209,0.01905,6.14296e+07
0.085,-0.000918072,0.01905,5.87707e+07
0.085,-0.000714056,0.01905,5.64699e+07
0.085,-0.00051004,0.01905,5.40108e+07
0.085,-0.000306024,0.01905,5.14983e+07
0.085,-0.000102008,0.01905,4.83191e+07
0.085,0.000102008,0.01905,4.55631e+07
0.085,0.000306024,0.01905,4.34339e+07
0.085,0.00051004,0.01905,4.10172e+07
0.085,0.000714056,0.01905,3.83606e+07
0.085,0.000918072,0.01905,3.57985e+07
0.085,0.00112209,0.01905,3.33527e+07
0.085,0.0013261,0.01905,3.09617e+07
0.085,0.00153012,0.01905,2.83122e+07
0.085,0.00173414,0.01905,2.57454e+07
0.085,0.00193815,0.01905,2.33322e+07
0.085,0.00214217,0.01905,2.14668e+07
0.085,0.00234618,0.01905,1.96796e+07
0.085,0.0025502,0.01905,1.79755e+07
0.085,0.00275422,0.01905,1.62963e+07
0.085,0.00295823,0.01905,1.46746e+07
0.085,0.00316225,0.01905,1.31505e+07
0.085,0.00336627,0.01905,1.17341e+07
0.085,0.00357028,0.01905,1.03504e+07
0.085,0.0037743,0.01905,9.24183e+06
0.085,0.00397831,0.01905,8.157e+06
0.085,0.00418233,0.01905,7.15021e+06
0.085,0.00438635,0.01905,6.20966e+06
0.085,0.00459036,0.01905,5.36102e+06
0.085,0.00479438,0.01905,4.62176e+06
0.085,0.00499839,0.01905,3.9692e+06
0.085,0.00520241,0.01905,3.38929e+06
0.085,0.00540643,0.01905,2.85505e+06
0.085,0.00561044,0.01905,2.47491e+06
0.085,0.00581446,0.01905,2.15182e+06
0.085,0.00601847,0.01905,1.90207e+06
0.085,0.00622249,0.01905,1.6506e+06
0.085,0.00642651,0.01905,1.40163e+06
0.085,0.00663052,0.01905,1.20462e+06
0.085,0.00683454,0.01905,1.03558e+06
0.085,0.00703855,0.01905,907150
0.085,0.00724257,0.01905,800653
0.085,0.00744659,0.01905,678341
0.085,0.0076506,0.01905,541633
0.085,0.00785462,0.01905,409235
0.085,0.00805863,0.01905,288090
0.085,0.00826265,0.01905,180617
0.085,0.00846667,0.01905,121293
0.085,0.00867068,0.01905,67261.6
0.085,0.0088747,0.01905,44326.7
0.085,0.00907871,0.01905,24295.1
0.085,0.00928273,0.01905,12718.3
0.085,0.00948675,0.01905,7049.36
0.085,0.00969076,0.01905,1598.47
0.085,0.00989478,0.01905,972.368
0.085,0.0100988,0.01905,346.261
0.085,0.0103028,0.01905,24.5323
0.085,0.0105068,0.01905,12.7144
0.085,0.0107108,0.01905,1.99372
0.085,0.0109149,0.01905,0.052024
0.085,0.0111189,0.01905,0.0247321
0.085,0.0113229,0.01905,0.000636021
0.085,0.0115269,0.01905,0.000408822
0.085,0.0117309,0.01905,0.000181624
0.085,0.0119349,0.01905,7.6069e-06
0.085,0.012139,0.01905,4.91138e-06
0.085,0.012343,0.01905,2.21587e-06
0.085,0.012547,0.01905,3.93564e-07
0.085,0.012751,0.01905,3.01951e-07
0.085,0.012955,0.01905,2.10338e-07
0.085,0.013159,0.01905,1.23947e-07
0.085,0.0133631,0.01905,1.04726e-07
0.085,0.0135671,0.01905,8.55043e-08
0.085,0.0137711,0.01905,6.6736e-08
0.085,0.0139751,0.01905,6.27084e-08
0.085,0.0141791,0.01905,6.07631e-08
0.085,0.0143831,0.01905,5.88961e-08
0.085,0.0145871,0.01905,5.81004e-08
0.085,0.0147912,0.01905,5.79693e-08
0.085,0.0149952,0.01905,5.7846e-08
0.085,0.0151992,0.01905,5.78089e-08
0.085,0.0154032,0.01905,5.77967e-08
0.085,0.0156072,0.01905,5.77861e-08
0.085,0.0158112,0.01905,5.77825e-08
0.085,0.0160153,0.01905,5.7779e-08
0.085,0.0162193,0.01905,5.77761e-08
0.085,0.0164233,0.01905,5.77739e-08
0.085,0.0166273,0.01905,5.77718e-08
0.085,0.0168313,0.01905,5.77702e-08
0.085,0.0170353,0.01905,5.77687e-08
0.085,0.0172394,0.01905,5.77673e-08
0.085,0.0174434,0.01905,5.77661e-08
0.085,0.0176474,0.01905,5.7765e-08
0.085,0.0178514,0.01905,5.77638e-08
0.085,0.0180554,0.01905,5.77627e-08
0.085,0.0182594,0.01905,5.77616e-08
0.085,0.0184635,0.01905,5.77605e-08
0.085,0.0186675,0.01905,5.77595e-08
0.085,0.0188715,0.01905,5.77585e-08
0.085,0.0190755,0.01905,5.77577e-08
0.085,0.0192795,0.01905,5.77569e-08
0.085,0.0194835,0.01905,5.77562e-08
0.085,0.0196876,0.01905,5.77556e-08
0.085,0.0198916,0.01905,5.77548e-08
0.085,0.0200956,0.01905,5.7754e-08
0.085,0.0202996,0.01905,5.77531e-08
0.085,0.0205036,0.01905,5.77522e-08
0.085,0.0207076,0.01905,5.77511e-08
0.085,0.0209116,0.01905,5.77499e-08
0.085,0.0211157,0.01905,5.77487e-08
0.085,0.0213197,0.01905,5.77472e-08
0.085,0.0215237,0.01905,5.77456e-08
0.085,0.0217277,0.01905,5.77439e-08
0.085,0.0219317,0.01905,5.77422e-08
0.085,0.0221357,0.01905,5.77407e-08
0.085,0.0223398,0.01905,5.77395e-08
0.085,0.0225438,0.01905,5.7739e-08
0.085,0.0227478,0.01905,5.77395e-08
0.085,0.0229518,0.01905,5.77427e-08
0.085,0.0231558,0.01905,5.77499e-08
0.085,0.0233598,0.01905,5.77631e-08
0.085,0.0235639,0.01905,5.77847e-08
0.085,0.0237679,0.01905,5.78165e-08
0.085,0.0239719,0.01905,5.78578e-08
0.085,0.0241759,0.01905,5.79019e-08
0.085,0.0243799,0.01905,5.79362e-08
0.085,0.0245839,0.01905,5.79463e-08
0.085,0.024788,0.01905,5.79258e-08
0.085,0.024992,0.01905,5.78772e-08
0.085,0.025196,0.01905,5.78124e-08
0.085,0.0254,0.01905,0
