x,y,z,QdotMean
0.23,-0.0227478,0.01905,207.52
0.23,-0.0225438,0.01905,2053.14
0.23,-0.0223398,0.01905,6780
0.23,-0.0221357,0.01905,13104.9
0.23,-0.0219317,0.01905,20190.9
0.23,-0.0217277,0.01905,27730.6
0.23,-0.0215237,0.01905,35171
0.23,-0.0213197,0.01905,43491
0.23,-0.0211157,0.01905,59351.8
0.23,-0.0209116,0.01905,97861.2
0.23,-0.0207076,0.01905,153972
0.23,-0.0205036,0.01905,180488
0.23,-0.0202996,0.01905,174824
0.23,-0.0200956,0.01905,167590
0.23,-0.0198916,0.01905,188291
0.23,-0.0196876,0.01905,222256
0.23,-0.0194835,0.01905,232233
0.23,-0.0192795,0.01905,206675
0.23,-0.0190755,0.01905,165286
0.23,-0.0188715,0.01905,143307
0.23,-0.0186675,0.01905,141519
0.23,-0.0184635,0.01905,148408
0.23,-0.0182594,0.01905,162671
0.23,-0.0180554,0.01905,180940
0.23,-0.0178514,0.01905,203744
0.23,-0.0176474,0.01905,228216
0.23,-0.0174434,0.01905,255278
0.23,-0.0172394,0.01905,289719
0.23,-0.0170353,0.01905,330999
0.23,-0.0168313,0.01905,369680
0.23,-0.0166273,0.01905,399138
0.23,-0.0164233,0.01905,419586
0.23,-0.0162193,0.01905,431370
0.23,-0.0160153,0.01905,442784
0.23,-0.0158112,0.01905,463787
0.23,-0.0156072,0.01905,491336
0.23,-0.0154032,0.01905,523063
0.23,-0.0151992,0.01905,562963
0.23,-0.0149952,0.01905,647531
0.23,-0.0147912,0.01905,726590
0.23,-0.0145871,0.01905,782264
0.23,-0.0143831,0.01905,815457
0.23,-0.0141791,0.01905,871329
0.23,-0.0139751,0.01905,1.02838e+06
0.23,-0.0137711,0.01905,1.22523e+06
0.23,-0.0135671,0.01905,1.42598e+06
0.23,-0.0133631,0.01905,1.53488e+06
0.23,-0.013159,0.01905,1.61715e+06
0.23,-0.012955,0.01905,1.66558e+06
0.23,-0.012751,0.01905,1.71144e+06
0.23,-0.012547,0.01905,1.77563e+06
0.23,-0.012343,0.01905,1.95655e+06
0.23,-0.012139,0.01905,2.27108e+06
0.23,-0.0119349,0.01905,2.71393e+06
0.23,-0.0117309,0.01905,3.23048e+06
0.23,-0.0115269,0.01905,3.68845e+06
0.23,-0.0113229,0.01905,4.00384e+06
0.23,-0.0111189,0.01905,4.27791e+06
0.23,-0.0109149,0.01905,4.61869e+06
0.23,-0.0107108,0.01905,5.11861e+06
0.23,-0.0105068,0.01905,5.63067e+06
0.23,-0.0103028,0.01905,6.227e+06
0.23,-0.0100988,0.01905,6.95581e+06
0.23,-0.00989478,0.01905,7.71258e+06
0.23,-0.00969076,0.01905,8.47622e+06
0.23,-0.00948675,0.01905,9.21165e+06
0.23,-0.00928273,0.01905,9.93045e+06
0.23,-0.00907871,0.01905,1.06184e+07
0.23,-0.0088747,0.01905,1.10406e+07
0.23,-0.00867068,0.01905,1.15382e+07
0.23,-0.00846667,0.01905,1.2177e+07
0.23,-0.00826265,0.01905,1.28885e+07
0.23,-0.00805863,0.01905,1.37356e+07
0.23,-0.00785462,0.01905,1.46763e+07
0.23,-0.0076506,0.01905,1.56951e+07
0.23,-0.00744659,0.01905,1.71046e+07
0.23,-0.00724257,0.01905,1.86966e+07
0.23,-0.00703855,0.01905,2.08397e+07
0.23,-0.00683454,0.01905,2.34549e+07
0.23,-0.00663052,0.01905,2.64455e+07
0.23,-0.00642651,0.01905,2.90991e+07
0.23,-0.00622249,0.01905,3.13372e+07
0.23,-0.00601847,0.01905,3.28085e+07
0.23,-0.00581446,0.01905,3.44715e+07
0.23,-0.00561044,0.01905,3.65048e+07
0.23,-0.00540643,0.01905,3.92606e+07
0.23,-0.00520241,0.01905,4.18582e+07
0.23,-0.00499839,0.01905,4.39534e+07
0.23,-0.00479438,0.01905,4.52825e+07
0.23,-0.00459036,0.01905,4.66537e+07
0.23,-0.00438635,0.01905,4.84812e+07
0.23,-0.00418233,0.01905,5.0437e+07
0.23,-0.00397831,0.01905,5.22444e+07
0.23,-0.0037743,0.01905,5.39833e+07
0.23,-0.00357028,0.01905,5.58706e+07
0.23,-0.00336627,0.01905,5.75304e+07
0.23,-0.00316225,0.01905,5.89125e+07
0.23,-0.00295823,0.01905,6.01801e+07
0.23,-0.00275422,0.01905,6.17379e+07
0.23,-0.0025502,0.01905,6.31589e+07
0.23,-0.00234618,0.01905,6.44179e+07
0.23,-0.00214217,0.01905,6.52898e+07
0.23,-0.00193815,0.01905,6.60907e+07
0.23,-0.00173414,0.01905,6.65002e+07
0.23,-0.00153012,0.01905,6.64146e+07
0.23,-0.0013261,0.01905,6.59449e+07
0.23,-0.00112209,0.01905,6.50581e+07
0.23,-0.000918072,0.01905,6.41923e+07
0.23,-0.000714056,0.01905,6.35386e+07
0.23,-0.00051004,0.01905,6.27654e+07
0.23,-0.000306024,0.01905,6.12967e+07
0.23,-0.000102008,0.01905,6.11483e+07
0.23,0.000102008,0.01905,6.27146e+07
0.23,0.000306024,0.01905,6.37065e+07
0.23,0.00051004,0.01905,6.40422e+07
0.23,0.000714056,0.01905,6.35067e+07
0.23,0.000918072,0.01905,6.27169e+07
0.23,0.00112209,0.01905,6.14935e+07
0.23,0.0013261,0.01905,6.00878e+07
0.23,0.00153012,0.01905,5.83523e+07
0.23,0.00173414,0.01905,5.65035e+07
0.23,0.00193815,0.01905,5.45703e+07
0.23,0.00214217,0.01905,5.26578e+07
0.23,0.00234618,0.01905,5.03695e+07
0.23,0.0025502,0.01905,4.79611e+07
0.23,0.00275422,0.01905,4.5661e+07
0.23,0.00295823,0.01905,4.35154e+07
0.23,0.00316225,0.01905,4.14011e+07
0.23,0.00336627,0.01905,3.94208e+07
0.23,0.00357028,0.01905,3.75066e+07
0.23,0.0037743,0.01905,3.57276e+07
0.23,0.00397831,0.01905,3.40131e+07
0.23,0.00418233,0.01905,3.21718e+07
0.23,0.00438635,0.01905,3.07186e+07
0.23,0.00459036,0.01905,2.92182e+07
0.23,0.00479438,0.01905,2.76517e+07
0.23,0.00499839,0.01905,2.60541e+07
0.23,0.00520241,0.01905,2.45187e+07
0.23,0.00540643,0.01905,2.318e+07
0.23,0.00561044,0.01905,2.19313e+07
0.23,0.00581446,0.01905,2.06646e+07
0.23,0.00601847,0.01905,1.97397e+07
0.23,0.00622249,0.01905,1.88324e+07
0.23,0.00642651,0.01905,1.78558e+07
0.23,0.00663052,0.01905,1.72309e+07
0.23,0.00683454,0.01905,1.65792e+07
0.23,0.00703855,0.01905,1.58533e+07
0.23,0.00724257,0.01905,1.48283e+07
0.23,0.00744659,0.01905,1.38205e+07
0.23,0.0076506,0.01905,1.27913e+07
0.23,0.00785462,0.01905,1.04691e+07
0.23,0.00805863,0.01905,9.5024e+06
0.23,0.00826265,0.01905,8.99136e+06
0.23,0.00846667,0.01905,8.61408e+06
0.23,0.00867068,0.01905,8.37006e+06
0.23,0.0088747,0.01905,7.88843e+06
0.23,0.00907871,0.01905,7.20445e+06
0.23,0.00928273,0.01905,6.16655e+06
0.23,0.00948675,0.01905,5.25642e+06
0.23,0.00969076,0.01905,4.46525e+06
0.23,0.00989478,0.01905,3.85785e+06
0.23,0.0100988,0.01905,3.27119e+06
0.23,0.0103028,0.01905,2.791e+06
0.23,0.0105068,0.01905,2.4196e+06
0.23,0.0107108,0.01905,2.18703e+06
0.23,0.0109149,0.01905,2.02077e+06
0.23,0.0111189,0.01905,1.91474e+06
0.23,0.0113229,0.01905,1.77404e+06
0.23,0.0115269,0.01905,1.64676e+06
0.23,0.0117309,0.01905,1.37877e+06
0.23,0.0119349,0.01905,1.05897e+06
0.23,0.012139,0.01905,844698
0.23,0.012343,0.01905,632726
0.23,0.012547,0.01905,511654
0.23,0.012751,0.01905,416782
0.23,0.012955,0.01905,315240
0.23,0.013159,0.01905,208591
0.23,0.0133631,0.01905,136957
0.23,0.0135671,0.01905,120546
0.23,0.0137711,0.01905,105753
0.23,0.0139751,0.01905,95845.1
0.23,0.0141791,0.01905,87560.3
0.23,0.0143831,0.01905,74750.5
0.23,0.0145871,0.01905,59316.2
0.23,0.0147912,0.01905,44188.2
0.23,0.0149952,0.01905,30759.9
0.23,0.0151992,0.01905,14272.8
0.23,0.0154032,0.01905,4856.89
0.23,0.0156072,0.01905,1576.32
0.23,0.0158112,0.01905,209.573
0.23,0.0160153,0.01905,50.1076
0.23,0.0162193,0.01905,2.34831
0.23,0.0164233,0.01905,0.173304
0.23,0.0166273,0.01905,0.00613581
0.23,0.0168313,0.01905,4.71017e-05
0.23,0.0170353,0.01905,1.94945e-05
0.23,0.0172394,0.01905,2.21479e-06
0.23,0.0174434,0.01905,4.30808e-07
0.23,0.0176474,0.01905,1.85874e-07
0.23,0.0178514,0.01905,8.1187e-08
0.23,0.0180554,0.01905,6.44189e-08
0.23,0.0182594,0.01905,6.06871e-08
0.23,0.0184635,0.01905,5.883e-08
0.23,0.0186675,0.01905,5.81426e-08
0.23,0.0188715,0.01905,5.79005e-08
0.23,0.0190755,0.01905,5.77896e-08
0.23,0.0192795,0.01905,5.77337e-08
0.23,0.0194835,0.01905,5.77084e-08
0.23,0.0196876,0.01905,5.7698e-08
0.23,0.0198916,0.01905,5.76956e-08
0.23,0.0200956,0.01905,5.76991e-08
0.23,0.0202996,0.01905,5.77076e-08
0.23,0.0205036,0.01905,5.77208e-08
0.23,0.0207076,0.01905,5.77382e-08
0.23,0.0209116,0.01905,5.77586e-08
0.23,0.0211157,0.01905,5.77805e-08
0.23,0.0213197,0.01905,5.78014e-08
0.23,0.0215237,0.01905,5.78189e-08
0.23,0.0217277,0.01905,5.78287e-08
0.23,0.0219317,0.01905,5.78296e-08
0.23,0.0221357,0.01905,5.78206e-08
0.23,0.0223398,0.01905,5.78053e-08
0.23,0.0225438,0.01905,5.77871e-08
0.23,0.0227478,0.01905,5.77569e-08
