x,y,z,QdotMean
0.18,-0.0254,0.01905,0
0.18,-0.025196,0.01905,489.751
0.18,-0.024992,0.01905,3464.19
0.18,-0.024788,0.01905,10537.4
0.18,-0.0245839,0.01905,19290.8
0.18,-0.0243799,0.01905,28000.1
0.18,-0.0241759,0.01905,35783.9
0.18,-0.0239719,0.01905,42810.2
0.18,-0.0237679,0.01905,49124
0.18,-0.0235639,0.01905,53225.5
0.18,-0.0233598,0.01905,55086.8
0.18,-0.0231558,0.01905,55094.7
0.18,-0.0229518,0.01905,54307.6
0.18,-0.0227478,0.01905,55135.9
0.18,-0.0225438,0.01905,60618
0.18,-0.0223398,0.01905,72986.3
0.18,-0.0221357,0.01905,90208.4
0.18,-0.0219317,0.01905,123997
0.18,-0.0217277,0.01905,193089
0.18,-0.0215237,0.01905,275921
0.18,-0.0213197,0.01905,336663
0.18,-0.0211157,0.01905,346019
0.18,-0.0209116,0.01905,324988
0.18,-0.0207076,0.01905,308393
0.18,-0.0205036,0.01905,307272
0.18,-0.0202996,0.01905,325340
0.18,-0.0200956,0.01905,361671
0.18,-0.0198916,0.01905,420201
0.18,-0.0196876,0.01905,475839
0.18,-0.0194835,0.01905,517618
0.18,-0.0192795,0.01905,543192
0.18,-0.0190755,0.01905,579873
0.18,-0.0188715,0.01905,616547
0.18,-0.0186675,0.01905,644451
0.18,-0.0184635,0.01905,653049
0.18,-0.0182594,0.01905,662343
0.18,-0.0180554,0.01905,680489
0.18,-0.0178514,0.01905,717719
0.18,-0.0176474,0.01905,795395
0.18,-0.0174434,0.01905,911162
0.18,-0.0172394,0.01905,1.01386e+06
0.18,-0.0170353,0.01905,1.08241e+06
0.18,-0.0168313,0.01905,1.13825e+06
0.18,-0.0166273,0.01905,1.21475e+06
0.18,-0.0164233,0.01905,1.31927e+06
0.18,-0.0162193,0.01905,1.44484e+06
0.18,-0.0160153,0.01905,1.60481e+06
0.18,-0.0158112,0.01905,1.80323e+06
0.18,-0.0156072,0.01905,2.05685e+06
0.18,-0.0154032,0.01905,2.25952e+06
0.18,-0.0151992,0.01905,2.37328e+06
0.18,-0.0149952,0.01905,2.45887e+06
0.18,-0.0147912,0.01905,2.57828e+06
0.18,-0.0145871,0.01905,2.81627e+06
0.18,-0.0143831,0.01905,3.02886e+06
0.18,-0.0141791,0.01905,3.22081e+06
0.18,-0.0139751,0.01905,3.40795e+06
0.18,-0.0137711,0.01905,3.58295e+06
0.18,-0.0135671,0.01905,3.75083e+06
0.18,-0.0133631,0.01905,4.0644e+06
0.18,-0.013159,0.01905,4.44502e+06
0.18,-0.012955,0.01905,5.07624e+06
0.18,-0.012751,0.01905,5.67546e+06
0.18,-0.012547,0.01905,6.23746e+06
0.18,-0.012343,0.01905,6.6856e+06
0.18,-0.012139,0.01905,7.07672e+06
0.18,-0.0119349,0.01905,7.39206e+06
0.18,-0.0117309,0.01905,7.73454e+06
